Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,43510,14391,2686,17621,16704,
200,44130,12324,2691,17623,16653,
200,44750,11124,2691,17621,16717,
200,45369,10348,2715,17622,16700,
200,45990,9832,2695,17623,16715,
200,46612,9534,2694,17623,16718,
200,47235,9283,2696,17623,16733,
200,47856,9092,2694,17625,16725,
200,48479,9015,2731,17625,16725,
200,49100,8874,2693,17625,16705,
200,49722,8838,2699,17624,16727,
200,50345,8713,2691,17625,16709,
200,50966,8691,2694,17626,16700,
200,51588,8665,2680,17625,16706,
200,52211,8643,2688,17625,16720,
200,52832,8571,2691,17627,16712,
200,53453,8564,2693,17626,16703,
200,54075,8522,2691,17627,16722,
200,54694,8492,2696,17627,16707,
200,55316,8503,2690,17627,16721,
200,55936,8489,2681,17628,16718,
190,43453,14855,3325,17622,16525,
190,44073,12267,3345,17623,16597,
190,44693,10874,3339,17622,16611,
190,45313,9920,3323,17623,16721,
190,45935,9415,3345,17623,16604,
190,46555,9045,3334,17622,16658,
190,47178,8849,3322,17623,16718,
190,47800,8664,3333,17625,16640,
190,48423,8484,3338,17625,16704,
190,49044,8379,3340,17625,16682,
190,49665,8273,3332,17624,16704,
190,50288,8254,3339,17625,16718,
190,50910,8158,3335,17626,16722,
190,51532,8072,3270,17626,16686,
190,52154,7964,3325,17625,16695,
190,52775,8040,3332,17626,16705,
190,53396,8040,3334,17626,16660,
190,54019,7991,3334,17628,16690,
190,54638,7976,3373,17627,16754,
190,55259,7851,3332,17627,16671,
190,55879,7925,3336,17627,16740,
180,43396,14952,3990,17623,16287,
180,44017,11419,3991,17623,16238,
180,44637,9676,4002,17622,16279,
180,45256,8706,3996,17623,16347,
180,45878,8149,4003,17623,16371,
180,46498,7733,3994,17623,16375,
180,47122,7490,4001,17623,16369,
180,47744,7287,3999,17625,16373,
180,48366,7138,3997,17624,16375,
180,48987,7026,3983,17625,16379,
180,49609,6951,3996,17624,16376,
180,50232,6876,3993,17625,16376,
180,50853,6808,4012,17626,16375,
180,51475,6768,3997,17626,16376,
180,52097,6728,4000,17624,16374,
180,52719,6685,4007,17626,16378,
180,53340,6656,3998,17626,16376,
180,53962,6632,4004,17627,16377,
180,54583,6600,4037,17627,16379,
180,55203,6572,3994,17628,16374,
180,55823,6552,4001,17628,16379,
170,43340,15263,4653,17623,16321,
170,43960,10918,4672,17622,16363,
170,44580,8952,4675,17622,16356,
170,45200,7829,4674,17622,16355,
170,45822,7171,4674,17623,16351,
170,46442,6735,4680,17622,16354,
170,47065,6487,4674,17623,16354,
