Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,43510,14391,2686,17621,16704,
200,44130,12324,2691,17623,16653,
200,44750,11124,2691,17621,16717,
200,45369,10348,2715,17622,16700,
200,45990,9832,2695,17623,16715,
200,46612,9534,2694,17623,16718,
200,47235,9283,2696,17623,16733,
200,47856,9092,2694,17625,16725,
200,48479,9015,2731,17625,16725,
200,49100,8874,2693,17625,16705,
200,49722,8838,2699,17624,16727,
200,50345,8713,2691,17625,16709,
200,50966,8691,2694,17626,16700,
200,51588,8665,2680,17625,16706,
200,52211,8643,2688,17625,16720,
200,52832,8571,2691,17627,16712,
200,53453,8564,2693,17626,16703,
200,54075,8522,2691,17627,16722,
200,54694,8492,2696,17627,16707,
200,55316,8503,2690,17627,16721,
200,55936,8489,2681,17628,16718,
200,57511,8221,2694,17627,16730,
200,58131,8301,2697,17628,16714,
200,58751,8283,2693,17628,16722,
200,59366,8325,2698,17628,16728,
200,59982,8323,2700,17629,16744,
200,60604,8318,2672,17627,16730,
200,61224,8353,2697,17629,16721,
200,61845,8306,2692,17629,16713,
200,62461,8329,2732,17628,16705,
200,63082,8296,2699,17628,16714,
200,63703,8287,2691,17629,16715,
200,64325,8298,2691,17629,16714,
200,64948,8330,2708,17629,16721,
200,65568,8320,2696,17630,16708,
200,66189,8314,2695,17630,16719,
200,66811,8285,2707,17631,16713,
200,67434,8290,2694,17630,16711,
200,68052,8277,2690,17630,16725,
200,68674,8271,2690,17629,16713,
200,69295,8271,2694,17631,16729,
200,69919,8274,2696,17630,16740,
200,71517,8078,2702,17629,16739,
200,72134,8167,2678,17630,16712,
200,72753,8187,2694,17630,16721,
200,73374,8200,2694,17629,16706,
200,73992,8213,2695,17630,16727,
200,74612,8222,2726,17631,16713,
200,75230,8214,2693,17631,16722,
200,75849,8228,2700,17630,16721,
200,76469,8230,2696,17632,16714,
200,77092,8216,2705,17631,16718,
200,77712,8227,2705,17632,16716,
200,78333,8231,2693,17631,16727,
200,78948,8229,2697,17631,16715,
200,79567,8219,2694,17631,16710,
200,80188,8256,2697,17632,16732,
200,80810,8228,2696,17631,16710,
200,81428,8236,2692,17630,16724,
200,82046,8222,2694,17632,16730,
200,82667,8237,2703,17631,16726,
200,83289,8220,2697,17631,16710,
200,83906,8208,2692,17632,16714,
200,85522,8047,2708,17632,16715,
200,86145,8152,2694,17632,16704,
200,86767,8148,2693,17631,16725,
200,87388,8197,2681,17632,16736,
200,88011,8190,2706,17631,16731,
200,88632,8202,2692,17632,16730,
200,89252,8184,2709,17632,16733,
