Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,572,13680,2677,17627,16691,
200,1195,11733,2665,17626,16720,
200,1808,10689,2660,17627,16704,
200,2429,10064,2666,17626,16710,
200,3050,9728,2660,17627,16716,
200,3672,9461,2654,17628,16710,
200,4299,9299,2676,17628,16726,
200,4925,9203,2657,17627,16716,
200,5548,9103,2698,17629,16733,
200,6171,9012,2674,17629,16717,
200,6795,8993,2673,17629,16729,
200,7415,8923,2679,17629,16726,
200,8038,8883,2680,17629,16703,
200,8658,8848,2671,17629,16731,
200,9284,8803,2669,17629,16724,
200,9908,8782,2679,17629,16722,
200,10529,8779,2651,17629,16714,
200,11149,8768,2685,17629,16732,
200,11773,8727,2676,17631,16717,
200,12395,8691,2666,17629,16729,
200,13019,8715,2675,17630,16718,
190,515,14010,3349,17626,16477,
190,1138,11665,3317,17627,16632,
190,1751,10427,3290,17627,16736,
190,2372,9729,3306,17627,16736,
190,2995,9356,3296,17627,16706,
190,3615,9059,3311,17628,16670,
190,4242,8877,3311,17628,16690,
190,4869,8754,3314,17628,16679,
190,5493,8645,3293,17629,16717,
190,6114,8589,3318,17628,16741,
190,6738,8467,3307,17628,16702,
190,7360,8473,3317,17629,16715,
190,7982,8394,3313,17629,16669,
190,8603,8357,3350,17629,16738,
190,9227,8391,3314,17628,16745,
190,9851,8288,3315,17630,16704,
190,10472,8315,3349,17629,16720,
190,11093,8255,3320,17630,16747,
190,11716,8297,3310,17630,16726,
190,12338,8154,3321,17630,16725,
190,12963,8198,3297,17630,16715,
180,460,13973,3960,17627,16230,
180,1082,10694,3971,17626,16288,
180,1694,9338,3972,17628,16374,
180,2315,8531,3956,17627,16363,
180,2938,8057,3983,17627,16375,
180,3560,7773,3984,17628,16373,
180,4185,7570,3960,17627,16374,
180,4812,7440,3980,17628,16372,
180,5436,7315,3987,17629,16374,
180,6057,7245,3968,17628,16381,
180,6682,7177,3971,17628,16371,
180,7303,7080,3975,17629,16377,
180,7925,7077,3989,17629,16375,
180,8547,7040,3972,17629,16375,
180,9170,7004,3978,17629,16378,
180,9795,6974,3983,17629,16375,
180,10415,6951,3992,17629,16370,
180,11036,6922,3975,17629,16374,
180,11660,6911,3992,17629,16373,
180,12282,6891,3982,17630,16371,
180,12906,6877,3980,17630,16368,
170,403,14362,4617,17627,16351,
170,1025,10065,4663,17626,16362,
170,1637,8413,4652,17626,16353,
170,2260,7561,4629,17627,16343,
170,2882,7075,4675,17627,16343,
170,3503,6733,4649,17627,16336,
170,4128,6580,4656,17627,16347,
170,4755,6438,4601,17628,16341,
170,5380,6331,4644,17629,16348,
170,6002,6259,4632,17628,16359,
170,6625,6188,4657,17627,16326,
170,7247,6135,4658,17629,16339,
170,7869,6088,4659,17630,16339,
170,8491,6054,4641,17629,16340,
170,9114,6018,4579,17629,16343,
170,9738,6003,4653,17629,16346,
170,10360,5965,4639,17628,16346,
170,10980,5943,4643,17629,16349,
170,11603,5880,4656,17630,16351,
170,12225,5901,4646,17629,16337,
170,12849,5891,4653,17630,16336,
160,347,14687,5361,17628,16272,
160,969,8240,5369,17626,16287,
160,1582,6555,5377,17626,16305,
160,2203,5632,5377,17626,16330,
160,2825,5367,5377,17627,16334,
160,3447,5044,5375,17628,16357,
160,4071,4934,5380,17628,16360,
160,4698,4819,5366,17628,16359,
160,5323,4667,5379,17629,16354,
160,5945,4652,5380,17628,16369,
160,6569,4555,5381,17628,16355,
160,7191,4571,5355,17629,16350,
160,7812,4494,5353,17629,16378,
160,8434,4474,5382,17629,16362,
160,9057,4450,5376,17629,16372,
160,9681,4410,5384,17630,16370,
160,10303,4295,5376,17630,16344,
160,10923,4384,5376,17629,16375,
160,11547,4369,5383,17631,16360,
160,12169,4328,5358,17628,16375,
160,12792,4349,5374,17630,16356,
110,64,15265,8831,17627,15342,
110,687,803,8766,17626,15240,
110,1308,528,8893,17626,15355,
110,1923,371,8901,17625,15370,
110,2541,292,8910,17626,15226,
110,3164,291,8913,17628,15361,
110,3787,264,8756,17628,15267,
110,4414,273,8919,17628,15261,
110,5040,273,8919,17626,15272,
110,5662,253,8894,17629,15178,
110,6286,242,8841,17628,15357,
110,6908,235,8902,17629,15362,
110,7528,232,8919,17631,15288,
110,8152,243,8913,17630,15253,
110,8774,233,8877,17629,15396,
110,9399,226,8905,17630,15337,
110,10023,232,8896,17631,15348,
110,10643,226,8745,17629,15354,
110,11264,228,8902,17629,15239,
110,11886,227,8867,17631,15322,
110,12508,225,8916,17630,15339,
100,7,13053,9440,17626,14754,
100,630,2867,9426,17626,15389,
100,1252,1997,9449,17626,15416,
100,1866,1561,9434,17627,15415,
100,2486,1403,9422,17627,15420,
100,3107,1299,9459,17628,15421,
100,3730,1227,9445,17628,15423,
100,4357,1114,9452,17628,15428,
100,4983,1030,9468,17628,15433,
100,5605,1065,9463,17630,15427,
100,6229,1069,9467,17629,15428,
100,6852,996,9461,17628,15443,
100,7473,1016,9469,17631,15439,
100,8096,1020,9451,17629,15431,
100,8717,1037,9439,17629,15432,
100,9342,969,9455,17630,15440,
100,9966,960,9466,17629,15437,
100,10587,943,9321,17629,15434,
100,11207,950,9465,17629,15435,
100,11829,934,9461,17631,15430,
100,12452,993,9446,17631,15435,
120,121,13934,8242,17628,14761,
120,743,754,8253,17627,14759,
120,1365,465,8274,17625,14760,
120,1979,363,8284,17627,14728,
120,2598,310,8276,17627,14739,
120,3221,287,8288,17628,14734,
120,3843,263,8291,17627,14740,
120,4471,248,8284,17629,14739,
120,5097,249,8282,17628,14739,
120,5719,238,8278,17629,14740,
120,6341,239,8245,17629,14735,
120,6965,233,8281,17629,14732,
120,7585,227,8295,17630,14744,
120,8208,225,8249,17629,14741,
120,8830,221,8287,17630,14739,
120,9456,223,8280,17630,14730,
120,10080,216,8294,17630,14749,
120,10697,221,8285,17629,14732,
120,11321,213,8290,17630,14740,
120,11941,205,8277,17631,14733,
120,12565,205,8288,17630,14732,
130,178,13739,7562,17627,14736,
130,800,1038,7582,17626,14770,
130,1420,681,7499,17625,14786,
130,2034,531,7583,17626,14797,
130,2655,464,7564,17627,14798,
130,3278,427,7591,17627,14802,
130,3900,401,7582,17628,14803,
130,4527,383,7561,17628,14804,
130,5154,369,7574,17628,14801,
130,5776,362,7586,17629,14804,
130,6398,354,7429,17628,14806,
130,7021,347,7589,17629,14804,
130,7642,342,7588,17629,14807,
130,8265,340,7582,17629,14808,
130,8887,337,7479,17630,14812,
130,9512,331,7596,17629,14811,
130,10136,330,7634,17629,14808,
130,10753,326,7602,17629,14804,
130,11378,324,7591,17630,14808,
130,11998,323,7596,17630,14806,
130,12621,322,7619,17630,14805,
140,234,15175,6826,17627,15706,
140,857,3257,6837,17627,15649,
140,1475,2392,6871,17625,15760,
140,2091,1959,6850,17626,15724,
140,2712,1753,6848,17627,15699,
140,3334,1649,6820,17627,15708,
140,3957,1517,6841,17628,15702,
140,4584,1470,6850,17627,15688,
140,5210,1405,6826,17628,15681,
140,5832,1411,6839,17627,15759,
140,6455,1381,6846,17628,15709,
140,7078,1364,6853,17628,15670,
140,7699,1347,6854,17630,15676,
140,8321,1329,6853,17629,15706,
140,8943,1319,6851,17629,15647,
140,9569,1313,6837,17629,15649,
140,10191,1306,6840,17629,15684,
140,10810,1274,6846,17629,15720,
140,11434,1310,6848,17630,15682,
140,12055,1241,6850,17631,15726,
140,12678,1250,6856,17630,15737,
150,291,14317,6088,17628,15647,
150,914,5210,6157,17625,15652,
150,1527,3914,6087,17626,15659,
