Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,572,13680,2677,17627,16691,
200,1195,11733,2665,17626,16720,
200,1808,10689,2660,17627,16704,
200,2429,10064,2666,17626,16710,
200,3050,9728,2660,17627,16716,
200,3672,9461,2654,17628,16710,
200,4299,9299,2676,17628,16726,
200,4925,9203,2657,17627,16716,
200,5548,9103,2698,17629,16733,
200,6171,9012,2674,17629,16717,
200,6795,8993,2673,17629,16729,
200,7415,8923,2679,17629,16726,
200,8038,8883,2680,17629,16703,
200,8658,8848,2671,17629,16731,
200,9284,8803,2669,17629,16724,
200,9908,8782,2679,17629,16722,
200,10529,8779,2651,17629,16714,
200,11149,8768,2685,17629,16732,
200,11773,8727,2676,17631,16717,
200,12395,8691,2666,17629,16729,
200,13019,8715,2675,17630,16718,
200,575,8519,2679,17630,16726,
200,1198,8535,2670,17630,16715,
200,1823,8577,2666,17631,16716,
200,2445,8586,2667,17632,16723,
200,3067,8576,2652,17631,16729,
200,3694,8601,2669,17633,16709,
200,4320,8573,2721,17632,16728,
200,4942,8555,2681,17632,16719,
200,5562,8572,2670,17633,16724,
200,6184,8568,2698,17634,16714,
200,6807,8552,2684,17633,16723,
200,7433,8556,2673,17634,16705,
200,8055,8563,2676,17634,16715,
200,8677,8534,2659,17634,16714,
200,9301,8530,2676,17634,16727,
200,9924,8542,2666,17634,16710,
200,10546,8499,2672,17633,16723,
200,11167,8523,2687,17634,16706,
200,11788,8522,2666,17634,16735,
200,12411,8517,2664,17634,16720,
200,13037,8524,2669,17635,16715,
190,515,14010,3349,17626,16477,
190,1138,11665,3317,17627,16632,
190,1751,10427,3290,17627,16736,
190,2372,9729,3306,17627,16736,
190,2995,9356,3296,17627,16706,
190,3615,9059,3311,17628,16670,
190,4242,8877,3311,17628,16690,
190,4869,8754,3314,17628,16679,
190,5493,8645,3293,17629,16717,
190,6114,8589,3318,17628,16741,
190,6738,8467,3307,17628,16702,
190,7360,8473,3317,17629,16715,
190,7982,8394,3313,17629,16669,
190,8603,8357,3350,17629,16738,
190,9227,8391,3314,17628,16745,
190,9851,8288,3315,17630,16704,
190,10472,8315,3349,17629,16720,
190,11093,8255,3320,17630,16747,
190,11716,8297,3310,17630,16726,
190,12338,8154,3321,17630,16725,
190,12963,8198,3297,17630,16715,
190,518,7958,3316,17630,16741,
190,1142,8039,3311,17630,16690,
190,1766,8105,3287,17631,16690,
190,2390,8114,3330,17630,16739,
190,3010,8053,3311,17631,16696,
190,3637,8114,3318,17632,16744,
190,4264,8094,3311,17632,16754,
190,4886,8144,3347,17632,16724,
190,5505,8028,3313,17634,16693,
190,6127,8060,3287,17633,16694,
190,6751,8107,3315,17633,16694,
190,7377,8144,3305,17634,16702,
190,7998,8086,3321,17634,16678,
190,8620,8087,3307,17632,16740,
190,9244,8063,3286,17634,16733,
190,9867,8031,3314,17634,16685,
190,10490,8070,3300,17634,16694,
190,11110,7984,3316,17634,16753,
190,11731,8022,3313,17634,16757,
190,12354,7975,3310,17635,16691,
190,12980,8017,3319,17635,16722,
180,460,13973,3960,17627,16230,
180,1082,10694,3971,17626,16288,
180,1694,9338,3972,17628,16374,
180,2315,8531,3956,17627,16363,
180,2938,8057,3983,17627,16375,
180,3560,7773,3984,17628,16373,
180,4185,7570,3960,17627,16374,
180,4812,7440,3980,17628,16372,
180,5436,7315,3987,17629,16374,
180,6057,7245,3968,17628,16381,
180,6682,7177,3971,17628,16371,
180,7303,7080,3975,17629,16377,
180,7925,7077,3989,17629,16375,
180,8547,7040,3972,17629,16375,
180,9170,7004,3978,17629,16378,
180,9795,6974,3983,17629,16375,
180,10415,6951,3992,17629,16370,
180,11036,6922,3975,17629,16374,
180,11660,6911,3992,17629,16373,
180,12282,6891,3982,17630,16371,
180,12906,6877,3980,17630,16368,
180,462,6638,3990,17629,16385,
180,1086,6718,3988,17630,16368,
180,1709,6751,3978,17632,16375,
180,2333,6748,4020,17631,16365,
180,2955,6764,3979,17630,16374,
180,3580,6768,3986,17632,16374,
180,4207,6736,3987,17632,16376,
180,4829,6732,3999,17632,16368,
180,5451,6716,4039,17634,16370,
180,6071,6719,3984,17633,16371,
180,6694,6709,3989,17633,16372,
180,7320,6702,3976,17634,16376,
180,7941,6688,3988,17634,16372,
180,8564,6694,3993,17633,16374,
180,9188,6700,3932,17634,16375,
180,9810,6686,3992,17633,16373,
180,10433,6673,3969,17633,16371,
180,11055,6668,3971,17634,16364,
180,11675,6660,3992,17633,16370,
180,12297,6652,3991,17635,16372,
180,12923,6652,3990,17635,16376,
170,403,14362,4617,17627,16351,
170,1025,10065,4663,17626,16362,
170,1637,8413,4652,17626,16353,
170,2260,7561,4629,17627,16343,
170,2882,7075,4675,17627,16343,
170,3503,6733,4649,17627,16336,
170,4128,6580,4656,17627,16347,
170,4755,6438,4601,17628,16341,
170,5380,6331,4644,17629,16348,
170,6002,6259,4632,17628,16359,
170,6625,6188,4657,17627,16326,
170,7247,6135,4658,17629,16339,
170,7869,6088,4659,17630,16339,
170,8491,6054,4641,17629,16340,
170,9114,6018,4579,17629,16343,
170,9738,6003,4653,17629,16346,
170,10360,5965,4639,17628,16346,
170,10980,5943,4643,17629,16349,
170,11603,5880,4656,17630,16351,
170,12225,5901,4646,17629,16337,
170,12849,5891,4653,17630,16336,
170,405,5637,4655,17629,16364,
170,1029,5726,4659,17629,16340,
170,1652,5765,4663,17631,16338,
170,2277,5773,4711,17631,16335,
170,2898,5779,4638,17632,16355,
170,3523,5778,4655,17632,16350,
170,4150,5756,4665,17633,16344,
170,4773,5749,4646,17632,16345,
170,5395,5743,4628,17633,16344,
170,6014,5731,4653,17634,16334,
170,6637,5732,4643,17633,16334,
170,7264,5717,4655,17634,16337,
170,7888,5715,4649,17633,16339,
170,8507,5708,4637,17633,16348,
170,9131,5704,4636,17634,16334,
170,9755,5688,4660,17633,16337,
170,10377,5683,4667,17633,16342,
170,10998,5639,4650,17634,16343,
170,11618,5664,4647,17633,16344,
170,12240,5669,4644,17635,16337,
170,12866,5662,4655,17636,16346,
160,347,14687,5361,17628,16272,
160,969,8240,5369,17626,16287,
160,1582,6555,5377,17626,16305,
160,2203,5632,5377,17626,16330,
160,2825,5367,5377,17627,16334,
160,3447,5044,5375,17628,16357,
160,4071,4934,5380,17628,16360,
160,4698,4819,5366,17628,16359,
160,5323,4667,5379,17629,16354,
160,5945,4652,5380,17628,16369,
160,6569,4555,5381,17628,16355,
160,7191,4571,5355,17629,16350,
160,7812,4494,5353,17629,16378,
160,8434,4474,5382,17629,16362,
160,9057,4450,5376,17629,16372,
160,9681,4410,5384,17630,16370,
160,10303,4295,5376,17630,16344,
160,10923,4384,5376,17629,16375,
160,11547,4369,5383,17631,16360,
160,12169,4328,5358,17628,16375,
160,12792,4349,5374,17630,16356,
160,348,4073,5357,17629,16362,
160,973,4221,5361,17630,16365,
160,1595,4212,5384,17631,16352,
160,2220,4229,5388,17632,16372,
160,2841,4161,5364,17631,16387,
160,3466,4245,5375,17632,16368,
160,4093,4270,5379,17632,16348,
160,4716,4225,5383,17632,16359,
160,5340,4194,5382,17632,16353,
160,5958,4208,5379,17633,16363,
160,6580,4226,5388,17634,16362,
160,7207,4187,5384,17634,16359,
160,7831,4199,5378,17633,16393,
160,8450,4179,5378,17633,16375,
160,9075,4199,5384,17633,16342,
160,9698,4115,5384,17634,16344,
160,10320,4202,5376,17634,16371,
160,10944,4187,5379,17635,16344,
160,11562,4143,5387,17635,16355,
160,12184,4161,5419,17635,16382,
