Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,572,13680,2677,17627,16691,
200,1195,11733,2665,17626,16720,
200,1808,10689,2660,17627,16704,
200,2429,10064,2666,17626,16710,
200,3050,9728,2660,17627,16716,
200,3672,9461,2654,17628,16710,
200,4299,9299,2676,17628,16726,
200,4925,9203,2657,17627,16716,
200,5548,9103,2698,17629,16733,
200,6171,9012,2674,17629,16717,
200,6795,8993,2673,17629,16729,
200,7415,8923,2679,17629,16726,
200,8038,8883,2680,17629,16703,
200,8658,8848,2671,17629,16731,
200,9284,8803,2669,17629,16724,
200,9908,8782,2679,17629,16722,
200,10529,8779,2651,17629,16714,
200,11149,8768,2685,17629,16732,
200,11773,8727,2676,17631,16717,
200,12395,8691,2666,17629,16729,
200,13019,8715,2675,17630,16718,
200,575,8519,2679,17630,16726,
200,1198,8535,2670,17630,16715,
200,1823,8577,2666,17631,16716,
200,2445,8586,2667,17632,16723,
200,3067,8576,2652,17631,16729,
200,3694,8601,2669,17633,16709,
200,4320,8573,2721,17632,16728,
200,4942,8555,2681,17632,16719,
200,5562,8572,2670,17633,16724,
200,6184,8568,2698,17634,16714,
200,6807,8552,2684,17633,16723,
200,7433,8556,2673,17634,16705,
200,8055,8563,2676,17634,16715,
200,8677,8534,2659,17634,16714,
200,9301,8530,2676,17634,16727,
200,9924,8542,2666,17634,16710,
200,10546,8499,2672,17633,16723,
200,11167,8523,2687,17634,16706,
200,11788,8522,2666,17634,16735,
200,12411,8517,2664,17634,16720,
200,13037,8524,2669,17635,16715,
200,571,8365,2698,17635,16738,
200,1192,8429,2682,17636,16719,
200,1815,8449,2670,17635,16749,
200,2439,8447,2678,17636,16717,
200,3062,8453,2677,17635,16724,
200,3688,8470,2679,17635,16731,
200,4309,8464,2709,17635,16728,
200,4932,8459,2676,17636,16724,
200,5559,8434,2688,17635,16717,
200,6183,8444,2697,17636,16725,
200,6805,8444,2673,17636,16739,
200,7428,8447,2683,17635,16727,
200,8053,8448,2681,17635,16725,
200,8676,8418,2654,17636,16722,
200,9295,8441,2675,17635,16725,
200,9918,8433,2677,17637,16724,
200,10541,8402,2685,17638,16731,
200,11166,8440,2667,17637,16713,
200,11788,8405,2686,17638,16729,
200,12411,8419,2678,17637,16720,
200,13035,8422,2673,17637,16723,
200,571,8292,2689,17637,16722,
200,1196,8368,2679,17637,16717,
200,1822,8399,2668,17637,16723,
200,2446,8399,2677,17637,16725,
200,3067,8408,2675,17637,16734,
200,3690,8413,2685,17638,16719,
200,4312,8413,2669,17638,16721,
200,4925,8396,2677,17637,16733,
200,5549,8377,2683,17638,16736,
200,6173,8389,2675,17637,16726,
200,6794,8383,2656,17638,16721,
200,7418,8392,2684,17638,16714,
200,8043,8394,2681,17639,16726,
200,8666,8379,2734,17638,16721,
200,9287,8347,2677,17638,16732,
200,9909,8380,2682,17638,16731,
200,10533,8388,2672,17638,16721,
200,11156,8387,2676,17639,16723,
200,11778,8364,2679,17638,16731,
200,12399,8383,2660,17640,16724,
200,13020,8355,2686,17639,16723,
200,574,8248,2676,17639,16743,
200,1197,8318,2670,17638,16727,
200,1823,8329,2685,17638,16711,
200,2450,8345,2677,17639,16729,
200,3071,8340,2657,17639,16730,
200,3697,8348,2666,17638,16725,
200,4319,8344,2678,17639,16725,
200,4939,8343,2670,17638,16724,
200,5563,8371,2676,17639,16737,
200,6187,8339,2671,17638,16718,
200,6810,8336,2667,17640,16717,
200,7430,8335,2685,17639,16730,
200,8053,8325,2679,17638,16727,
200,8679,8323,2678,17639,16725,
200,9302,8302,2679,17638,16728,
200,9922,8339,2675,17639,16714,
200,10544,8316,2710,17639,16729,
200,11166,8339,2679,17638,16727,
200,11793,8341,2680,17639,16737,
200,12419,8332,2682,17639,16717,
200,13044,8316,2676,17640,16723,
200,575,8203,2680,17638,16732,
200,1197,8261,2678,17638,16722,
200,1821,8284,2679,17640,16717,
200,2445,8312,2670,17640,16735,
200,3064,8298,2681,17639,16724,
200,3688,8315,2650,17638,16731,
200,4308,8316,2681,17640,16738,
200,4931,8314,2668,17640,16720,
200,5556,8303,2674,17639,16745,
200,6179,8284,2665,17640,16729,
200,6802,8311,2680,17639,16718,
200,7427,8310,2670,17640,16717,
200,8048,8299,2645,17640,16722,
200,8671,8329,2676,17640,16729,
200,9291,8318,2633,17640,16743,
200,9912,8296,2681,17640,16731,
200,10536,8296,2688,17640,16725,
200,11158,8286,2656,17638,16732,
200,11782,8299,2684,17638,16731,
200,12405,8281,2716,17640,16728,
200,13025,8294,2675,17641,16720,
190,515,14010,3349,17626,16477,
190,1138,11665,3317,17627,16632,
190,1751,10427,3290,17627,16736,
190,2372,9729,3306,17627,16736,
190,2995,9356,3296,17627,16706,
190,3615,9059,3311,17628,16670,
190,4242,8877,3311,17628,16690,
190,4869,8754,3314,17628,16679,
190,5493,8645,3293,17629,16717,
190,6114,8589,3318,17628,16741,
190,6738,8467,3307,17628,16702,
190,7360,8473,3317,17629,16715,
190,7982,8394,3313,17629,16669,
190,8603,8357,3350,17629,16738,
190,9227,8391,3314,17628,16745,
190,9851,8288,3315,17630,16704,
190,10472,8315,3349,17629,16720,
190,11093,8255,3320,17630,16747,
190,11716,8297,3310,17630,16726,
190,12338,8154,3321,17630,16725,
190,12963,8198,3297,17630,16715,
190,518,7958,3316,17630,16741,
190,1142,8039,3311,17630,16690,
190,1766,8105,3287,17631,16690,
190,2390,8114,3330,17630,16739,
190,3010,8053,3311,17631,16696,
190,3637,8114,3318,17632,16744,
190,4264,8094,3311,17632,16754,
190,4886,8144,3347,17632,16724,
190,5505,8028,3313,17634,16693,
190,6127,8060,3287,17633,16694,
190,6751,8107,3315,17633,16694,
190,7377,8144,3305,17634,16702,
190,7998,8086,3321,17634,16678,
190,8620,8087,3307,17632,16740,
190,9244,8063,3286,17634,16733,
190,9867,8031,3314,17634,16685,
190,10490,8070,3300,17634,16694,
190,11110,7984,3316,17634,16753,
190,11731,8022,3313,17634,16757,
190,12354,7975,3310,17635,16691,
190,12980,8017,3319,17635,16722,
190,515,7804,3323,17636,16761,
190,1135,7941,3301,17635,16764,
190,1758,7965,3316,17636,16705,
190,2383,7983,3316,17636,16714,
190,3005,7888,3300,17636,16703,
190,3632,7988,3388,17635,16695,
190,4253,8017,3321,17635,16729,
190,4875,7910,3291,17635,16729,
190,5502,7964,3321,17635,16725,
190,6126,8000,3325,17635,16741,
190,6748,7941,3317,17635,16725,
190,7372,7941,3312,17634,16733,
190,7996,7928,3304,17636,16722,
190,8619,7960,3326,17636,16717,
190,9239,7920,3294,17635,16708,
190,9863,7972,3310,17637,16710,
190,10485,7956,3320,17637,16707,
190,11109,7915,3315,17637,16729,
190,11731,7923,3310,17637,16722,
190,12354,7939,3319,17637,16768,
190,12979,7867,3347,17637,16684,
190,514,7777,3325,17636,16702,
190,1140,7912,3312,17637,16741,
190,1766,7855,3329,17636,16740,
190,2390,7941,3319,17638,16722,
190,3011,7931,3311,17637,16729,
190,3633,7903,3308,17638,16713,
190,4257,7877,3324,17637,16753,
190,4870,7906,3281,17637,16707,
190,5492,7907,3306,17638,16782,
190,6116,7914,3294,17637,16748,
190,6738,7916,3298,17636,16736,
190,7362,7911,3328,17637,16685,
190,7986,7870,3319,17639,16723,
190,8609,7911,3320,17638,16748,
190,9231,7899,3319,17639,16728,
190,9853,7895,3323,17639,16721,
190,10477,7852,3330,17639,16725,
190,11099,7916,3285,17639,16739,
190,11722,7878,3325,17637,16722,
190,12344,7825,3321,17639,16703,
