115, Validation Loss,1.1387, Validation Accuracy,0.8125
116, Validation Loss,1.1378, Validation Accuracy,0.8281
117, Validation Loss,1.1385, Validation Accuracy,0.8203
118, Validation Loss,1.1393, Validation Accuracy,0.8203
119, Validation Loss,1.1356, Validation Accuracy,0.8203
120, Validation Loss,1.1339, Validation Accuracy,0.8203
121, Validation Loss,1.1366, Validation Accuracy,0.8203
122, Validation Loss,1.1346, Validation Accuracy,0.8281
123, Validation Loss,1.1315, Validation Accuracy,0.8281
124, Validation Loss,1.1311, Validation Accuracy,0.8281
125, Validation Loss,1.1309, Validation Accuracy,0.8281
126, Validation Loss,1.1312, Validation Accuracy,0.8203
127, Validation Loss,1.1302, Validation Accuracy,0.8281
128, Validation Loss,1.1281, Validation Accuracy,0.8281
129, Validation Loss,1.1284, Validation Accuracy,0.8281
130, Validation Loss,1.1281, Validation Accuracy,0.8281
131, Validation Loss,1.1253, Validation Accuracy,0.8281
132, Validation Loss,1.1287, Validation Accuracy,0.8359
133, Validation Loss,1.1202, Validation Accuracy,0.8359
134, Validation Loss,1.1203, Validation Accuracy,0.8281
135, Validation Loss,1.1238, Validation Accuracy,0.8359
136, Validation Loss,1.1191, Validation Accuracy,0.8359
137, Validation Loss,1.1186, Validation Accuracy,0.8281
138, Validation Loss,1.1167, Validation Accuracy,0.8359
139, Validation Loss,1.1147, Validation Accuracy,0.8281
140, Validation Loss,1.116, Validation Accuracy,0.8359
141, Validation Loss,1.1153, Validation Accuracy,0.8359
142, Validation Loss,1.1142, Validation Accuracy,0.8359
143, Validation Loss,1.1123, Validation Accuracy,0.8281
144, Validation Loss,1.1102, Validation Accuracy,0.8281
145, Validation Loss,1.1087, Validation Accuracy,0.8281
146, Validation Loss,1.11, Validation Accuracy,0.8281
147, Validation Loss,1.1105, Validation Accuracy,0.8438
148, Validation Loss,1.1068, Validation Accuracy,0.8359
149, Validation Loss,1.107, Validation Accuracy,0.8359
150, Validation Loss,1.1078, Validation Accuracy,0.8359
151, Validation Loss,1.106, Validation Accuracy,0.8438
152, Validation Loss,1.1098, Validation Accuracy,0.8516
153, Validation Loss,1.1029, Validation Accuracy,0.8359
154, Validation Loss,1.1026, Validation Accuracy,0.8438
155, Validation Loss,1.1033, Validation Accuracy,0.8516
156, Validation Loss,1.1015, Validation Accuracy,0.8594
157, Validation Loss,1.0992, Validation Accuracy,0.8516
158, Validation Loss,1.0984, Validation Accuracy,0.8516
159, Validation Loss,1.1015, Validation Accuracy,0.8438
160, Validation Loss,1.0954, Validation Accuracy,0.8438
161, Validation Loss,1.0969, Validation Accuracy,0.8672
162, Validation Loss,1.0935, Validation Accuracy,0.8672
163, Validation Loss,1.0941, Validation Accuracy,0.8438
164, Validation Loss,1.0937, Validation Accuracy,0.8672
165, Validation Loss,1.0928, Validation Accuracy,0.8594
166, Validation Loss,1.0945, Validation Accuracy,0.8672
167, Validation Loss,1.091, Validation Accuracy,0.8438
168, Validation Loss,1.092, Validation Accuracy,0.875
169, Validation Loss,1.0921, Validation Accuracy,0.875
170, Validation Loss,1.0881, Validation Accuracy,0.875
171, Validation Loss,1.0908, Validation Accuracy,0.8672
172, Validation Loss,1.0907, Validation Accuracy,0.8672
173, Validation Loss,1.0889, Validation Accuracy,0.8594
174, Validation Loss,1.0901, Validation Accuracy,0.8594
175, Validation Loss,1.0877, Validation Accuracy,0.8594
176, Validation Loss,1.0873, Validation Accuracy,0.8906
177, Validation Loss,1.0875, Validation Accuracy,0.8906
178, Validation Loss,1.0835, Validation Accuracy,0.8906
179, Validation Loss,1.0886, Validation Accuracy,0.8906
180, Validation Loss,1.0852, Validation Accuracy,0.8984
181, Validation Loss,1.0889, Validation Accuracy,0.8906
182, Validation Loss,1.0825, Validation Accuracy,0.8906
183, Validation Loss,1.0843, Validation Accuracy,0.8828
184, Validation Loss,1.0847, Validation Accuracy,0.8984
185, Validation Loss,1.0826, Validation Accuracy,0.8906
186, Validation Loss,1.0799, Validation Accuracy,0.8984
187, Validation Loss,1.077, Validation Accuracy,0.8906
188, Validation Loss,1.0791, Validation Accuracy,0.8984
189, Validation Loss,1.078, Validation Accuracy,0.8906
190, Validation Loss,1.0812, Validation Accuracy,0.8984
191, Validation Loss,1.0792, Validation Accuracy,0.8984
192, Validation Loss,1.0767, Validation Accuracy,0.8984
193, Validation Loss,1.0788, Validation Accuracy,0.8984
194, Validation Loss,1.08, Validation Accuracy,0.8984
195, Validation Loss,1.0784, Validation Accuracy,0.9062
196, Validation Loss,1.0762, Validation Accuracy,0.8984
197, Validation Loss,1.0751, Validation Accuracy,0.8984
198, Validation Loss,1.0731, Validation Accuracy,0.8984
199, Validation Loss,1.0727, Validation Accuracy,0.8984
200, Validation Loss,1.0721, Validation Accuracy,0.9141
