Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
250,12882,11232,378,17644,16842,
250,14163,10395,371,17643,16847,
250,15447,10113,380,17643,16846,
250,16731,9958,380,17643,16851,
250,18015,9878,380,17645,16851,
250,19300,9847,380,17645,16854,
250,20585,9854,379,17645,16852,
250,21870,9896,381,17644,16856,
250,23156,9950,381,17646,16851,
250,24441,10010,381,17646,16854,
250,25727,10084,380,17646,16855,
240,12831,11539,609,17644,16819,
240,14112,10274,600,17644,16819,
240,15397,9908,597,17644,16834,
240,16679,9666,601,17643,16845,
240,17965,9633,596,17643,16828,
240,19248,9638,602,17645,16834,
240,20536,9630,587,17645,16837,
240,21819,9671,601,17644,16842,
240,23106,9741,592,17645,16830,
240,24389,9824,597,17645,16841,
240,25676,9866,597,17646,16822,
230,12779,11788,974,17643,16766,
230,14060,9937,985,17643,16744,
230,15345,9493,978,17643,16737,
230,16628,9245,983,17644,16721,
230,17914,9180,967,17645,16784,
230,19197,9152,981,17645,16765,
230,20484,9150,956,17645,16742,
230,21767,9192,987,17646,16735,
230,23054,9351,1008,17646,16732,
230,24338,9388,976,17645,16748,
230,25626,9492,990,17646,16737,
220,12728,12102,1473,17643,16635,
220,14009,9606,1484,17644,16638,
220,15293,9057,1476,17644,16657,
220,16576,8829,1480,17643,16656,
220,17862,8733,1465,17644,16645,
220,19145,8691,1488,17644,16642,
220,20433,8652,1463,17645,16652,
220,21716,8727,1471,17645,16683,
220,23003,8813,1471,17646,16658,
220,24286,8909,1491,17646,16661,
220,25574,8992,1448,17647,16668,
210,12676,12554,2027,17644,16691,
210,13957,9329,2000,17643,16682,
210,15242,8670,2020,17643,16686,
210,16525,8432,2010,17643,16686,
210,17811,8288,2035,17644,16674,
210,19093,8228,2017,17645,16695,
210,20381,8224,2034,17645,16686,
210,21664,8313,2021,17645,16687,
210,22951,8369,2031,17645,16674,
210,24235,8500,2021,17645,16690,
210,25523,8574,2001,17647,16700,
200,12625,12961,2625,17643,16729,
200,13906,8876,2619,17643,16726,
200,15190,8202,2614,17644,16723,
200,16473,7942,2633,17642,16728,
200,17759,7756,2623,17644,16740,
200,19042,7698,2647,17645,16730,
200,20330,7735,2622,17645,16740,
200,21613,7741,2627,17645,16721,
200,22900,7803,2626,17646,16723,
200,24185,7963,2623,17645,16742,
200,25471,8005,2624,17646,16726,
190,12573,12884,3287,17643,16649,
190,13856,7822,3270,17642,16646,
190,15139,7051,3271,17643,16740,
190,16424,6822,3264,17643,16732,
190,17708,6654,3266,17645,16754,
190,18992,6618,3264,17644,16765,
190,20278,6632,3248,17646,16751,
190,21562,6596,3254,17645,16720,
190,22848,6682,3272,17646,16728,
190,24135,6752,3247,17646,16769,
190,25420,6827,3256,17646,16710,
180,12524,12540,3861,17643,16300,
180,13805,6347,3938,17643,16443,
