Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
250,12882,11232,378,17644,16842,
250,14163,10395,371,17643,16847,
250,15447,10113,380,17643,16846,
250,16731,9958,380,17643,16851,
250,18015,9878,380,17645,16851,
250,19300,9847,380,17645,16854,
250,20585,9854,379,17645,16852,
250,21870,9896,381,17644,16856,
250,23156,9950,381,17646,16851,
250,24441,10010,381,17646,16854,
250,25727,10084,380,17646,16855,
250,27886,10314,382,17646,16850,
250,29174,10115,380,17646,16857,
250,30456,9945,381,17647,16855,
250,31743,9890,372,17647,16857,
250,33025,9869,380,17647,16858,
250,34313,9870,381,17647,16852,
250,35594,9893,389,17648,16857,
250,36880,9962,381,17648,16853,
250,38167,10013,381,17647,16857,
250,39451,10068,379,17648,16855,
250,40736,10120,379,17647,16858,
250,42894,10264,381,17647,16857,
250,44179,10049,382,17647,16857,
250,45466,9900,380,17647,16855,
250,46751,9850,383,17648,16860,
250,48039,9850,368,17649,16858,
250,49323,9861,384,17648,16863,
250,50607,9905,377,17647,16852,
250,51889,9981,381,17648,16861,
250,53172,10052,380,17648,16855,
250,54457,10115,382,17648,16861,
250,55742,10154,381,17648,16856,
250,57897,10239,375,17647,16863,
250,59176,10020,384,17648,16859,
250,60459,9863,379,17647,16858,
250,61743,9838,370,17649,16859,
250,63030,9815,381,17648,16858,
250,64317,9831,379,17649,16858,
250,65601,9871,385,17649,16859,
250,66885,9943,379,17649,16863,
250,68171,10007,379,17649,16861,
250,69460,10062,384,17650,16862,
250,70743,10088,378,17649,16861,
250,72909,10223,383,17650,16864,
250,74197,10012,383,17649,16856,
250,75479,9886,382,17650,16859,
250,76768,9832,380,17650,16859,
250,78050,9817,379,17649,16862,
250,79337,9833,382,17649,16864,
250,80620,9865,382,17650,16862,
250,81908,9933,385,17649,16861,
250,83191,9978,383,17650,16863,
250,84477,10022,382,17649,16859,
250,85760,10066,379,17649,16861,
250,87913,10153,382,17650,16866,
250,89200,9979,381,17650,16860,
250,90485,9849,382,17650,16858,
250,91771,9806,380,17649,16861,
250,93058,9793,381,17648,16862,
250,94340,9815,380,17649,16861,
250,95625,9839,379,17651,16862,
250,96910,9874,380,17650,16859,
250,98197,9926,382,17649,16859,
250,99482,9991,368,17650,16860,
250,100769,10034,384,17651,16862,
240,12831,11539,609,17644,16819,
240,14112,10274,600,17644,16819,
240,15397,9908,597,17644,16834,
240,16679,9666,601,17643,16845,
240,17965,9633,596,17643,16828,
240,19248,9638,602,17645,16834,
240,20536,9630,587,17645,16837,
240,21819,9671,601,17644,16842,
240,23106,9741,592,17645,16830,
240,24389,9824,597,17645,16841,
240,25676,9866,597,17646,16822,
240,27835,10126,568,17646,16846,
240,29123,9901,607,17646,16846,
240,30405,9747,595,17648,16837,
240,31691,9646,595,17646,16843,
240,32973,9643,596,17647,16833,
