152,58550467,25984
155,58550468,25984
157,58550469,25981
160,58550470,25975
162,58550471,25968
165,58550472,25961
167,58550473,25955
170,58550474,25955
172,58550475,25952
175,58550476,25947
177,58550477,25938
180,58550478,25921
182,58550479,25895
185,58550480,25864
187,58550481,25833
190,58550482,25796
192,58550483,25735
195,58550484,25681
197,58550485,25651
200,58550486,25651
202,58550487,25645
205,58550488,25658
210,58550489,25684
212,58550490,25713
215,58550491,25747
217,58550492,25785
220,58550493,25785
222,58550494,25826
225,58550495,25863
227,58550496,25894
230,58550497,25917
232,58550498,25925
235,58550499,25924
237,58550501,25923
240,58550502,25920
242,58550503,25920
245,58550504,25894
247,58550505,25865
250,58550506,25858
140,58550507,25907
150,58550508,25907
152,58550509,25951
155,58550510,25976
157,58550511,25984
160,58550512,25987
162,58550513,25988
165,58550514,25987
167,58550515,25987
170,58550516,25982
172,58550517,25970
175,58550518,25947
177,58550519,25917
180,58550521,25885
182,58550522,25848
185,58550523,25796
187,58550524,25796
190,58550525,25730
192,58550526,25677
195,58550527,25655
197,58550528,25657
200,58550529,25673
202,58550530,25692
205,58550531,25715
210,58550532,25745
212,58550533,25781
215,58550534,25816
217,58550535,25850
220,58550536,25877
222,58550537,25877
225,58550538,25890
227,58550539,25897
230,58550541,25898
232,58550542,25894
235,58550543,25883
237,58550544,25851
240,58550545,25832
242,58550546,25832
245,58550547,25838
247,58550548,25863
250,58550549,25899
140,58550550,25967
150,58550552,26006
152,58550553,26006
155,58550554,26032
157,58550555,26046
160,58550556,26042
162,58550557,26025
165,58550558,26025
167,58550559,25996
170,58550561,25917
172,58550562,25869
175,58550563,25797
177,58550564,25730
180,58550565,25685
182,58550566,25685
185,58550567,25665
187,58550568,25663
190,58550569,25675
192,58550570,25675
195,58550571,25690
197,58550572,25734
200,58550574,25764
202,58550574,25764
205,58550576,25794
210,58550577,25819
212,58550578,25838
215,58550579,25844
217,58550580,25845
220,58550581,25842
222,58550582,25842
225,58550583,25838
227,58550584,25810
230,58550585,25784
232,58550586,25796
235,58550588,25832
237,58550589,25872
240,58550590,25911
242,58550591,25947
245,58550593,25980
247,58550594,26015
250,58550595,26043
140,58550596,26063
150,58550597,26077
152,58550598,26086
155,58550599,26072
157,58550600,26046
160,58550601,26010
162,58550602,26010
165,58550603,25951
167,58550604,25876
170,58550605,25818
172,58550606,25782
175,58550607,25764
177,58550608,25760
180,58550609,25760
182,58550611,25763
185,58550612,25770
187,58550613,25779
190,58550614,25796
192,58550615,25814
195,58550616,25830
197,58550617,25842
200,58550618,25842
202,58550619,25846
205,58550620,25831
210,58550621,25818
212,58550622,25794
215,58550623,25753
217,58550624,25753
220,58550625,25733
222,58550626,25737
225,58550627,25759
227,58550628,25797
230,58550629,25838
232,58550630,25878
235,58550631,25878
237,58550632,25915
240,58550633,25954
242,58550634,25990
245,58550635,26020
247,58550636,26040
250,58550637,26048
140,58550639,26046
150,58550641,26049
152,58550642,26053
155,58550643,26030
157,58550644,25968
160,58550645,25901
162,58550646,25901
165,58550647,25855
167,58550648,25828
170,58550649,25817
172,58550650,25808
175,58550651,25805
177,58550652,25806
180,58550653,25810
182,58550653,25810
185,58550654,25831
187,58550656,25839
190,58550657,25843
192,58550658,25835
195,58550659,25821
197,58550661,25805
200,58550662,25805
202,58550663,25787
205,58550664,25748
210,58550665,25708
212,58550666,25692
215,58550667,25700
217,58550668,25726
220,58550669,25726
222,58550670,25800
225,58550671,25837
227,58550672,25876
230,58550673,25918
232,58550674,25918
235,58550675,25955
237,58550676,25986
240,58550677,26007
242,58550678,26011
245,58550679,26007
247,58550681,26002
250,58550682,25995
140,58550683,25966
150,58550684,25951
152,58550685,25944
155,58550686,25931
157,58550687,25922
160,58550688,25919
162,58550689,25919
165,58550690,25916
167,58550691,25911
170,58550692,25909
172,58550693,25911
175,58550694,25914
177,58550695,25913
180,58550696,25913
182,58550697,25910
185,58550698,25898
187,58550699,25878
190,58550701,25853
192,58550702,25825
195,58550703,25788
197,58550704,25733
200,58550705,25733
202,58550706,25695
205,58550707,25682
210,58550708,25694
212,58550709,25720
215,58550710,25749
217,58550711,25783
220,58550712,25818
222,58550713,25859
225,58550714,25899
227,58550715,25934
230,58550716,25959
232,58550717,25973
235,58550718,25973
237,58550719,25977
240,58550720,25977
242,58550721,25971
245,58550722,25959
247,58550723,25926
250,58550724,25905
140,58550725,25905
150,58550726,25914
152,58550727,25945
155,58550728,25962
157,58550729,25969
160,58550730,25970
162,58550731,25969
165,58550732,25969
167,58550733,25966
170,58550734,25968
172,58550735,25968
175,58550736,25961
177,58550737,25948
180,58550738,25926
182,58550739,25926
185,58550741,25899
187,58550742,25868
190,58550743,25835
192,58550744,25777
195,58550745,25715
197,58550746,25682
200,58550747,25677
202,58550748,25677
205,58550749,25694
210,58550750,25747
212,58550751,25777
215,58550752,25811
217,58550753,25853
220,58550754,25853
222,58550755,25890
225,58550756,25922
227,58550757,25944
230,58550758,25954
232,58550759,25955
235,58550761,25950
237,58550762,25946
240,58550763,25946
242,58550764,25922
245,58550765,25887
247,58550766,25879
250,58550767,25894
140,58550768,25924
150,58550769,25960
152,58550770,25999
155,58550771,26017
157,58550772,26024
160,58550773,26029
162,58550774,26028
165,58550775,26028
167,58550776,26023
170,58550777,26014
172,58550778,25993
175,58550779,25963
177,58550781,25926
180,58550782,25889
182,58550783,25833
185,58550784,25764
187,58550785,25764
190,58550786,25714
192,58550787,25689
195,58550788,25686
197,58550789,25696
200,58550790,25716
202,58550791,25741
205,58550792,25769
210,58550793,25802
212,58550794,25837
215,58550795,25868
217,58550796,25893
220,58550797,25893
222,58550798,25910
225,58550799,25912
227,58550801,25908
230,58550802,25898
232,58550803,25867
235,58550804,25867
237,58550805,25847
240,58550806,25854
242,58550807,25877
245,58550808,25912
247,58550809,25947
250,58550810,25979
140,58550811,26011
150,58550812,26011
152,58550813,26047
155,58550814,26069
157,58550815,26077
160,58550816,26074
162,58550817,26060
165,58550818,26034
167,58550819,26034
170,58550820,25999
172,58550821,25960
175,58550822,25915
177,58550823,25843
180,58550824,25771
182,58550825,25727
185,58550826,25727
187,58550827,25709
190,58550828,25710
192,58550829,25721
195,58550830,25738
197,58550831,25759
200,58550832,25785
202,58550833,25785
205,58550834,25816
210,58550835,25846
212,58550836,25872
215,58550837,25893
217,58550838,25903
220,58550839,25901
222,58550841,25896
225,58550842,25896
227,58550843,25891
230,58550844,25863
232,58550845,25834
235,58550846,25826
237,58550847,25840
240,58550848,25870
242,58550849,25906
245,58550850,25940
247,58550851,25972
250,58550852,26002
140,58550853,26036
150,58550854,26070
152,58550855,26070
155,58550856,26088
157,58550857,26089
160,58550858,26073
162,58550859,26044
165,58550860,26008
167,58550861,25966
170,58550862,25966
172,58550863,25908
175,58550864,25834
177,58550865,25773
180,58550866,25739
182,58550867,25726
185,58550868,25727
187,58550869,25727
190,58550871,25738
192,58550872,25751
195,58550873,25768
197,58550874,25793
200,58550875,25818
202,58550876,25842
205,58550877,25860
210,58550878,25870
212,58550879,25870
215,58550880,25867
217,58550881,25861
220,58550882,25847
222,58550883,25812
225,58550884,25812
227,58550885,25791
230,58550886,25793
232,58550887,25816
235,58550888,25854
237,58550889,25894
240,58550890,25932
242,58550891,25932
245,58550892,25967
247,58550893,26002
250,58550894,26034
140,58550895,26062
150,58550896,26085
152,58550897,26095
155,58550898,26095
157,58550899,26083
160,58550901,26056
162,58550902,26021
165,58550903,25980
167,58550904,25909
170,58550905,25837
172,58550906,25785
175,58550907,25785
177,58550908,25756
180,58550909,25746
182,58550910,25751
