Setting,Timestamp,Data
200,934,400000
200,1864,400000
200,2794,400000
200,3721,400000
200,4649,400000
200,5577,400000
200,6505,400000
200,7433,400000
200,8361,400000
200,9290,400000
200,10218,400000
200,11146,400000
200,12073,400000
200,13001,400000
200,13929,400000
190,854,400000
190,1784,400000
190,2714,400000
190,3641,400000
190,4569,400000
190,5497,400000
190,6425,400000
190,7353,400000
190,8281,400000
190,9209,400000
190,10138,400000
190,11066,400000
190,11993,400000
190,12921,400000
190,13849,400000
180,774,404823
180,1703,396361
180,2634,399375
180,3560,401253
180,4489,396361
180,5417,393846
180,6345,389131
180,7273,387145
180,8200,380669
180,9129,388246
180,10058,385832
180,10986,378768
180,11913,376678
180,12841,376470
180,13768,400000
170,694,450505
170,1623,443194
170,2553,445217
170,3480,451101
170,4409,438356
170,5337,434727
170,6265,434174
170,7193,429800
170,8120,422355
170,9049,432797
170,9978,429260
170,10906,424720
170,11833,419242
170,12760,417703
170,13688,418728
160,613,524187
160,1543,511616
160,2472,512000
160,3400,519006
160,4329,503317
160,5257,505928
160,6185,497449
160,7112,497812
160,8040,489249
160,8969,497087
160,9898,491009
160,10826,485423
160,11753,481655
160,12680,480977
160,13608,474293
150,533,596562
150,1463,586819
150,2392,587830
150,3320,592935
150,4249,574474
150,5177,573508
150,6104,570632
150,7032,566841
150,7960,556219
150,8889,570632
150,9817,559868
150,10745,553513
150,11673,545115
150,12600,547300
150,13527,545987
140,452,659368
140,1383,646873
140,2311,645039
140,3240,651814
140,4168,636024
140,5096,632489
140,6024,626683
140,6952,622114
140,7880,619854
140,8808,623819
140,9736,618731
140,10665,609886
140,11593,607715
140,12520,603417
140,13447,600234
130,372,1082452
130,1303,1065556
130,2231,1064725
130,3160,1068057
130,4087,1052415
130,5016,747445
130,5944,741760
130,6872,736161
130,7800,722908
130,8728,725212
130,9656,720619
130,10585,713837
130,11513,710864
130,12440,708650
130,13367,703538
120,292,1199414
120,1223,1185871
120,2151,1179723
120,3080,1187935
120,4007,1159682
120,4936,1157716
120,5864,1151856
120,6792,1141265
120,7720,1121577
120,8647,1134626
120,9576,1119737
120,10505,1111533
120,11433,1101667
120,12360,1096359
120,13287,1089361
110,212,1291298
110,1143,1273235
110,2071,1267326
110,3000,1269683
110,3927,1248780
110,4856,1239709
110,5784,1235223
110,6712,1219773
110,7639,1207903
110,8567,1210044
110,9496,1207903
110,10425,1191043
110,11353,1175660
110,12279,1170620
110,13207,1169617
100,131,1415831
100,1063,1395570
100,1990,1385656
100,2920,1385656
100,3847,1373114
100,4776,1360797
100,5704,1350033
100,6631,1339437
100,7559,1321290
100,8487,1334202
100,9416,1320012
100,10345,1303628
100,11272,1297434
100,12199,1288860
100,13127,1281602
