Setting,Timestamp,Data
200,970,1600000
200,1899,1426183
200,2829,1367612
200,3758,716835
200,4686,708650
200,5613,679045
200,6540,665799
200,7468,642610
200,8397,635432
200,9324,609342
200,10252,601291
200,11180,581818
200,12107,565902
200,13036,560788
190,889,1597503
190,1819,1600000
190,2749,1600000
190,3678,1488372
190,4606,1493255
190,5533,1429169
190,6460,1377269
190,7388,1325137
190,8317,1332899
190,9244,729085
190,10172,712347
190,11099,699931
190,12027,679721
190,12956,669718
180,808,1868613
180,1739,1727905
180,2669,1637744
180,3598,1539849
180,4526,1536384
180,5453,1600000
180,6380,1600000
180,7308,1600000
180,8237,1600000
180,9164,1458170
180,10091,1424695
180,11019,1388474
180,11947,1350033
180,12876,1321290
170,727,2117890
170,1659,1940312
170,2589,1835948
170,3518,1724631
170,4445,1709515
170,5373,1633825
170,6300,1578116
170,7228,1505882
170,8157,1512555
170,9083,1600000
170,10011,1600000
170,10939,1600000
170,11867,1494890
170,12796,1459729
160,646,2450493
160,1579,2246845
160,2509,2121180
160,3437,1976834
160,4365,1951405
160,5293,1867335
160,6220,1810386
160,7148,1726812
160,8076,1724631
160,9003,1640697
160,9931,1599375
160,10859,1564553
160,11787,1517599
160,12715,1600000
110,243,5055230
110,1178,4565060
110,2106,4275574
110,3036,4038452
110,3964,3877869
110,4892,3729569
110,5819,3601670
110,6747,3436241
110,7676,3372581
110,8603,2931997
110,9530,2846421
110,10459,2788291
110,11386,2716180
110,12314,2650275
100,162,5657458
100,1097,5069307
100,2026,4751740
100,2955,4486309
100,3884,4353973
100,4812,4139464
100,5739,4005868
100,6667,3820895
100,7596,3721944
100,8523,3613586
100,9450,3477817
100,10379,3419031
100,11306,3291281
100,12234,2941472
120,324,4646625
120,1258,4190281
120,2187,3945100
120,3116,3714350
120,4045,3604047
120,4972,3440571
120,5899,2986511
120,6827,2840499
120,7756,2819965
120,8683,2692080
120,9610,2629855
120,10539,2570442
120,11466,2506732
120,12394,2439547
130,404,4099074
130,1338,3706787
130,2268,3504599
130,3196,2907026
130,4125,2828729
130,5053,2713481
130,5979,2614746
130,6907,2488456
130,7836,2457108
130,8763,2365579
130,9691,2319365
130,10619,2254265
130,11546,2199785
130,12474,2134445
140,485,3585120
140,1418,2828729
140,2348,2681505
140,3277,2513654
140,4205,2448296
140,5133,2341240
140,6059,2250549
140,6987,2175252
140,7916,2151260
140,8843,2049537
140,9771,1986902
140,10699,1947230
140,11626,1913124
140,12554,1844629
150,566,2788291
150,1499,2548848
150,2428,2415806
150,3357,2263608
150,4285,2230329
150,5213,2121180
150,6140,2046465
150,7068,1962625
150,7996,1966866
150,8923,1860972
150,9851,1818827
150,10779,1767040
150,11707,1726812
150,12634,1689420
