Setting,Timestamp,Data
200,930,438919
200,1858,429260
200,2787,420016
200,3715,420016
200,4642,414407
200,5570,415163
200,6497,408212
200,7426,410174
200,8354,397284
200,9281,396591
200,10210,389575
200,11137,383233
200,12065,379610
200,12993,383880
200,13921,375848
190,850,517041
190,1778,511616
190,2707,493493
190,3635,497812
190,4562,491009
190,5490,489249
190,6417,481316
190,7346,481655
190,8274,468114
190,9201,465243
190,10129,458370
190,11057,458063
190,11985,452896
190,12913,449615
190,13840,442046
180,770,607715
180,1698,597607
180,2627,583309
180,3555,591907
180,4482,571109
180,5410,573991
180,6337,566841
180,7266,562637
180,8193,548620
180,9121,542948
180,10049,540369
180,10977,536547
180,11905,527835
180,12832,527020
180,13760,517825
170,690,686557
170,1618,665151
170,2546,655569
170,3474,656831
170,4402,644430
170,5330,639001
170,6257,629572
170,7185,630153
170,8113,619854
170,9041,609342
170,9969,608256
170,10897,598130
170,11824,592421
170,12752,587324
170,13680,580828
160,610,1240836
160,1537,1207903
160,2466,1182789
160,3394,1184842
160,4322,744186
160,5250,740151
160,6176,736955
160,7105,729085
160,8033,716835
160,8961,708650
160,9889,700650
160,10817,689330
160,11744,683806
160,12672,685179
160,13600,668407
150,529,1388474
150,1457,1350033
150,2386,1318737
150,3314,1326424
150,4242,1302384
150,5170,1294973
150,6096,1274424
150,7025,1267326
150,7953,1248780
150,8881,1227449
150,9809,1211117
150,10736,1196261
150,11664,1190005
150,12592,1179723
150,13520,1157716
140,449,1600000
140,1377,1472322
140,2306,1447349
140,3234,1456614
140,4162,1412901
140,5090,1411440
140,6016,1398429
140,6945,1377269
140,7873,1358090
140,8801,1334202
140,9728,1325137
140,10656,1313662
140,11584,1286432
140,12512,1286432
140,13439,1260307
130,369,1577204
130,1297,1552103
130,2226,1513393
130,3154,1525228
130,4081,1600000
130,5009,1600000
130,5936,1600000
130,6865,1600000
130,7793,1600000
130,8720,1600000
130,9648,1498171
130,10576,1469153
130,11504,1462857
130,12432,1438202
130,13359,1421728
120,289,1787865
120,1217,1767040
120,2146,1731191
120,3073,1726812
120,4001,1695715
120,4929,1667752
120,5856,1648621
120,6785,1632848
120,7712,1615460
120,8640,1591916
120,9568,1568147
120,10496,1560975
120,11424,1526080
120,12352,1507545
120,13279,1600000
110,209,1940312
110,1137,1906446
110,2065,1876317
110,2993,1858439
110,3921,1827347
110,4849,1815200
110,5776,1787865
110,6705,1772776
110,7632,1735593
110,8560,1725721
110,9488,1697823
110,10416,1675941
110,11344,1668771
110,12271,1643659
110,13199,1619292
100,129,2176986
100,1056,2142819
100,1985,2101590
100,2913,2080772
100,3841,2046465
100,4769,2020720
100,5696,1994157
100,6623,1973975
100,7552,1933443
100,8480,1919850
100,9408,1884084
100,10336,1869892
100,11263,1845876
100,12191,1816408
100,13119,1805598
