Setting,Timestamp,Data
200,934,400000
200,1862,400000
200,2790,400000
200,3719,400000
200,4648,400000
200,5577,400000
200,6504,400000
200,7432,400000
200,8363,400000
200,9291,400000
200,10220,400000
200,11147,400000
200,12074,400000
200,13002,400000
200,13931,400000
190,853,436673
190,1782,432797
190,2710,429260
190,3639,425514
190,4568,419500
190,5496,417703
190,6424,414910
190,7352,411410
190,8283,408456
190,9211,410420
190,10140,406026
190,11067,398909
190,11994,394529
190,12922,388467
190,13851,390690
180,773,510468
180,1702,507433
180,2630,505180
180,3559,498539
180,4487,490656
180,5415,492071
180,6344,486807
180,7272,480977
180,8203,473635
180,9131,479625
180,10059,474293
180,10987,466196
180,11914,463034
180,12842,455921
180,13771,451399
170,693,568257
170,1622,568257
170,2550,560328
170,3478,555314
170,4406,555766
170,5335,544680
170,6264,541226
170,7192,536969
170,8123,531533
170,9050,533611
170,9979,527835
170,10907,518612
170,11834,515869
170,12762,505180
170,13690,502206
160,613,658732
160,1542,661285
160,2470,650571
160,3398,648717
160,4326,640801
160,5255,631319
160,6184,627258
160,7112,622114
160,8042,615939
160,8970,618731
160,9899,609342
160,10827,592421
160,11754,595002
160,12682,585310
160,13609,583309
150,533,1141265
150,1462,1134626
150,2389,747445
150,3318,739350
150,4246,729864
150,5175,722908
150,6104,724442
150,7032,711605
150,7962,700650
150,8890,706450
150,9819,692828
150,10747,683806
150,11674,677696
150,12601,671035
150,13529,669718
140,453,1248780
140,1381,1234106
140,2309,1220864
140,3238,1212193
140,4166,1196261
140,5095,1180743
140,6024,1177688
140,6951,1160668
140,7882,1147017
140,8810,1154778
140,9739,1131804
140,10667,1119737
140,11593,749085
140,12521,740151
140,13449,744998
130,372,1388474
130,1301,1395570
130,2229,1389888
130,3158,1360797
130,4086,1347368
130,5015,1344714
130,5943,1331599
130,6871,1309881
130,7801,1293746
130,8730,1296202
130,9659,1272049
130,10586,1262638
130,11513,1246500
130,12441,1227449
130,13368,1223051
120,291,1600000
120,1221,1600000
120,2149,1600000
120,3078,1600000
120,4006,1600000
120,4934,1494890
120,5863,1477100
120,6791,1465998
120,7720,1445817
120,8650,1436688
120,9578,1420249
120,10506,1385656
120,11433,1391304
120,12361,1371734
120,13288,1370358
110,211,1591916
110,1141,1584526
110,2069,1567247
110,2997,1553869
110,3925,1538981
110,4854,1514232
110,5783,1600000
110,6711,1600000
110,7640,1600000
110,8570,1600000
110,9497,1600000
110,10426,1596258
110,11353,1493255
110,12281,1477100
110,13208,1472322
100,131,1782031
100,1060,1761341
100,1988,1742237
100,2916,1726812
100,3845,1706311
100,4774,1699937
100,5703,1669792
100,6631,1665717
100,7560,1635782
100,8489,1627980
100,9417,1610696
100,10346,1590062
100,11273,1577204
100,12201,1563657
100,13128,1553869
