Setting,Timestamp,Data
200,932,546424
200,1860,542516
200,2789,516649
200,3717,521783
200,4645,503689
200,5573,502206
200,6502,493137
200,7430,479625
200,8357,479625
200,9285,474623
200,10214,455313
200,11143,457449
200,12071,451698
200,12999,438637
200,13925,443482
190,852,653061
190,1780,646873
190,2707,618731
190,3637,628992
190,4565,600234
190,5493,596041
190,6422,591907
190,7349,569205
190,8277,576901
190,9205,564498
190,10134,544246
190,11063,543813
190,11990,534865
190,12919,520589
190,13845,526613
180,771,1292521
180,1699,1266151
180,2627,736161
180,3557,741760
180,4485,713091
180,5413,710864
180,6341,692828
180,7269,675016
180,8197,671695
180,9125,661285
180,10053,641403
180,10983,637212
180,11910,633075
180,12839,620418
180,13765,615939
170,690,1423210
170,1619,1405628
170,2547,1339437
170,3477,1364878
170,4405,1307373
170,5332,1290078
170,6261,1263807
170,7189,1217598
170,8117,1224148
170,9045,744186
170,9973,722908
170,10903,712347
170,11830,707915
170,12759,690026
170,13685,690026
160,610,1600000
160,1539,1600000
160,2467,1600000
160,3397,1600000
160,4325,1467574
160,5252,1455062
160,6181,1427675
160,7109,1378660
160,8037,1378660
160,8965,1351369
160,9893,1309881
160,10822,1303628
160,11750,1297434
160,12679,1246500
160,13605,1260307
150,530,1646633
150,1459,1614505
150,2387,1540718
150,3317,1552103
150,4244,1504223
150,5172,1600000
150,6101,1600000
150,7029,1600000
150,7957,1600000
150,8884,1600000
150,9813,1465998
150,10742,1453513
150,11670,1436688
150,12599,1395570
150,13525,1402739
140,450,1813994
140,1379,1773928
140,2307,1718120
140,3236,1712732
140,4164,1641683
140,5092,1629924
140,6021,1599375
140,6949,1545077
140,7876,1559193
140,8804,1512555
140,9733,1600000
140,10662,1600000
140,11590,1600000
140,12519,1600000
140,13445,1600000
130,370,2083948
130,1298,2038825
130,2227,1962625
130,3156,1959808
130,4084,1894542
130,5012,1863512
130,5941,1837183
130,6868,1770477
130,7796,1762478
130,8724,1737802
130,9653,1695715
130,10582,1669792
130,11510,1658635
130,12437,1603131
130,13365,1603131
120,289,2363531
120,1218,2305657
120,2146,2246845
120,3076,2221258
120,4004,2149567
120,4932,2114610
120,5860,2088730
120,6788,2026719
120,7716,2017734
120,8644,1978266
120,9573,1925264
120,10501,1907778
120,11429,1877607
120,12357,1837183
120,13285,1829796
110,208,2568025
110,1138,2520615
110,2066,2446103
110,2996,2420088
110,3924,2343249
110,4852,2309557
110,5779,2269252
110,6708,2206896
110,7636,2183951
110,8564,2141139
110,9492,2101590
110,10420,2071302
110,11349,2038825
110,12277,1982575
110,13205,1968284
100,128,2888575
100,1058,2817056
100,1986,2754539
100,2916,2708099
100,3844,2645140
100,4771,2572864
100,5699,2548848
100,6628,2474924
100,7556,2435196
100,8484,2398828
100,9411,2363531
100,10340,2319365
100,11269,2269252
100,12197,2228509
100,13125,2206896
