Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,516,14200,2662,17623,16690,
200,1086,12272,2658,17624,16655,
200,1649,11097,2660,17625,16706,
200,2217,10340,2617,17624,16696,
200,2786,9864,2663,17624,16722,
200,3353,9500,2662,17625,16714,
200,3922,9196,2671,17625,16695,
200,4491,8966,2648,17625,16722,
200,5055,8923,2672,17627,16703,
200,5624,8790,2664,17625,16718,
200,6191,8688,2616,17626,16714,
200,6758,8642,2663,17627,16705,
200,7326,8538,2666,17627,16710,
200,7890,8527,2658,17626,16715,
200,8457,8491,2659,17628,16709,
200,9025,8462,2662,17629,16706,
200,9589,8463,2667,17628,16715,
200,10156,8326,2671,17628,16702,
200,10722,8312,2663,17628,16716,
200,11289,8351,2663,17628,16724,
200,11857,8257,2660,17628,16710,
200,12425,8298,2663,17628,16715,
200,12989,8229,2702,17628,16712,
200,512,8015,2671,17629,16736,
200,1080,8044,2663,17629,16702,
200,1649,8116,2660,17629,16704,
200,2217,8147,2664,17629,16727,
200,2784,8099,2662,17628,16713,
200,3348,8149,2672,17628,16719,
200,3916,8095,2673,17628,16718,
200,4478,8084,2663,17630,16716,
200,5045,8077,2644,17629,16707,
200,5602,8084,2671,17629,16709,
200,6169,8099,2662,17629,16726,
200,6734,8105,2663,17630,16713,
200,7298,8075,2668,17629,16727,
200,7864,8112,2672,17629,16719,
200,8431,8113,2695,17630,16709,
200,8999,8110,2669,17628,16714,
200,9565,8089,2634,17630,16712,
200,10134,8076,2665,17630,16712,
200,10702,8106,2664,17631,16716,
200,11267,8083,2633,17630,16716,
200,11835,8103,2668,17631,16718,
200,12402,8104,2671,17629,16714,
200,12968,8079,2658,17630,16728,
200,515,7820,2676,17630,16727,
200,1084,7935,2653,17631,16716,
200,1647,7957,2671,17631,16724,
200,2216,7997,2674,17630,16716,
200,2783,8036,2669,17631,16718,
200,3349,8038,2674,17632,16722,
200,3916,8032,2667,17631,16713,
200,4483,8016,2659,17632,16723,
200,5047,8017,2664,17631,16717,
200,5616,8034,2666,17631,16714,
200,6181,8034,2652,17631,16716,
200,6749,7998,2663,17631,16716,
200,7317,8049,2660,17632,16709,
200,7885,8049,2665,17631,16711,
200,8453,8010,2619,17632,16728,
200,9020,7981,2659,17632,16716,
200,9587,8006,2645,17631,16729,
200,10153,8065,2661,17632,16712,
200,10722,8014,2670,17632,16727,
200,11287,8031,2657,17632,16716,
200,11853,8060,2660,17633,16718,
200,12421,8047,2661,17633,16714,
200,12989,8038,2733,17632,16721,
190,464,14453,3290,17623,16558,
190,1034,11826,3298,17625,16498,
190,1598,10440,3266,17625,16626,
190,2165,9584,3292,17623,16628,
190,2734,9024,3302,17623,16744,
190,3302,8676,3308,17625,16715,
190,3870,8367,3285,17625,16663,
190,4439,8186,3300,17626,16727,
190,5005,7929,3310,17626,16685,
190,5572,7926,3306,17625,16712,
190,6139,7820,3280,17627,16670,
190,6707,7763,3309,17627,16685,
190,7274,7698,3285,17627,16698,
190,7840,7594,3304,17628,16676,
190,8406,7582,3304,17628,16708,
190,8973,7519,3283,17628,16689,
190,9537,7488,3305,17626,16709,
190,10106,7476,3294,17628,16700,
190,10671,7443,3301,17627,16679,
190,11237,7402,3306,17629,16654,
190,11806,7388,3307,17627,16671,
190,12373,7393,3293,17628,16691,
190,12937,7298,3298,17629,16688,
190,460,7009,3306,17629,16716,
190,1029,7103,3294,17628,16655,
190,1598,7164,3310,17630,16756,
190,2165,7132,3251,17629,16702,
190,2732,7169,3302,17629,16677,
190,3298,7221,3314,17629,16708,
190,3864,7191,3303,17629,16758,
190,4428,7178,3299,17629,16727,
190,4993,7216,3305,17630,16674,
190,5550,7198,3301,17630,16643,
190,6119,7148,3300,17629,16723,
190,6682,7199,3292,17630,16736,
190,7246,7205,3292,17630,16734,
190,7813,7187,3310,17629,16739,
190,8379,7208,3309,17630,16761,
190,8947,7211,3295,17628,16701,
190,9514,7191,3310,17630,16696,
190,10082,7192,3304,17631,16726,
190,10650,7151,3252,17630,16750,
190,11216,7091,3306,17630,16734,
190,11784,7205,3298,17629,16752,
190,12350,7141,3308,17629,16718,
190,12917,7150,3313,17631,16739,
190,463,6888,3287,17631,16720,
190,1032,6996,3297,17631,16715,
190,1597,7055,3340,17631,16651,
190,2164,7081,3306,17631,16740,
190,2732,7085,3307,17631,16708,
190,3298,7148,3310,17632,16699,
190,3864,7083,3296,17632,16706,
190,4431,7101,3311,17631,16710,
190,4996,7179,3271,17631,16725,
190,5564,7126,3313,17630,16708,
190,6130,7076,3308,17632,16731,
190,6698,7088,3301,17631,16686,
190,7265,7113,3310,17631,16706,
190,7833,7098,3314,17630,16754,
190,8402,7131,3302,17632,16737,
190,8968,7121,3292,17633,16741,
190,9535,7099,3310,17632,16736,
190,10102,7068,3287,17632,16701,
190,10670,7096,3283,17632,16724,
190,11236,7074,3309,17631,16706,
190,11804,7097,3251,17633,16669,
190,12369,7102,3306,17632,16736,
190,12937,7125,3305,17632,16677,
180,414,14518,3939,17623,16266,
180,982,11159,3965,17624,16237,
180,1546,9536,3984,17625,16257,
180,2114,8517,3962,17623,16293,
180,2682,7884,3961,17624,16334,
180,3250,7487,3962,17625,16372,
180,3819,7210,3942,17624,16373,
180,4388,6999,3964,17626,16366,
180,4953,6835,3975,17626,16377,
180,5521,6722,3934,17626,16372,
180,6088,6613,3957,17627,16373,
180,6655,6536,3966,17627,16378,
180,7222,6475,3974,17627,16376,
180,7789,6424,3963,17627,16377,
180,8354,6383,3976,17627,16378,
180,8921,6332,3960,17628,16378,
180,9486,6295,3972,17627,16370,
180,10054,6278,3974,17627,16378,
180,10621,6253,3947,17628,16372,
180,11186,6227,3967,17629,16375,
180,11754,6210,3968,17627,16378,
180,12321,6189,3967,17628,16375,
180,12887,6181,3973,17628,16374,
180,408,5790,3978,17628,16387,
180,977,5918,3962,17629,16378,
180,1546,5970,3968,17629,16375,
180,2114,5999,3966,17629,16373,
180,2680,6008,3936,17629,16374,
180,3246,6013,3965,17630,16375,
180,3814,6018,3934,17629,16374,
180,4376,6009,3967,17628,16376,
180,4941,6003,3959,17631,16381,
180,5499,6000,3975,17629,16381,
180,6066,6001,3957,17629,16378,
180,6631,5999,3948,17630,16384,
180,7194,5980,3980,17630,16378,
180,7761,6008,3950,17630,16378,
180,8328,5984,3921,17629,16377,
180,8897,5982,3958,17629,16366,
180,9463,5981,4044,17630,16377,
180,10031,5971,3975,17631,16377,
180,10599,5964,3974,17631,16378,
180,11164,5954,3976,17631,16370,
180,11732,5954,3963,17629,16373,
