Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
200,516,14200,2662,17623,16690,
200,1086,12272,2658,17624,16655,
200,1649,11097,2660,17625,16706,
200,2217,10340,2617,17624,16696,
200,2786,9864,2663,17624,16722,
200,3353,9500,2662,17625,16714,
200,3922,9196,2671,17625,16695,
200,4491,8966,2648,17625,16722,
200,5055,8923,2672,17627,16703,
200,5624,8790,2664,17625,16718,
200,6191,8688,2616,17626,16714,
200,6758,8642,2663,17627,16705,
200,7326,8538,2666,17627,16710,
200,7890,8527,2658,17626,16715,
200,8457,8491,2659,17628,16709,
200,9025,8462,2662,17629,16706,
200,9589,8463,2667,17628,16715,
200,10156,8326,2671,17628,16702,
200,10722,8312,2663,17628,16716,
200,11289,8351,2663,17628,16724,
200,11857,8257,2660,17628,16710,
200,12425,8298,2663,17628,16715,
200,12989,8229,2702,17628,16712,
190,464,14453,3290,17623,16558,
190,1034,11826,3298,17625,16498,
190,1598,10440,3266,17625,16626,
190,2165,9584,3292,17623,16628,
190,2734,9024,3302,17623,16744,
190,3302,8676,3308,17625,16715,
190,3870,8367,3285,17625,16663,
190,4439,8186,3300,17626,16727,
190,5005,7929,3310,17626,16685,
190,5572,7926,3306,17625,16712,
190,6139,7820,3280,17627,16670,
190,6707,7763,3309,17627,16685,
190,7274,7698,3285,17627,16698,
190,7840,7594,3304,17628,16676,
190,8406,7582,3304,17628,16708,
190,8973,7519,3283,17628,16689,
190,9537,7488,3305,17626,16709,
190,10106,7476,3294,17628,16700,
190,10671,7443,3301,17627,16679,
190,11237,7402,3306,17629,16654,
190,11806,7388,3307,17627,16671,
190,12373,7393,3293,17628,16691,
190,12937,7298,3298,17629,16688,
180,414,14518,3939,17623,16266,
180,982,11159,3965,17624,16237,
180,1546,9536,3984,17625,16257,
180,2114,8517,3962,17623,16293,
180,2682,7884,3961,17624,16334,
180,3250,7487,3962,17625,16372,
180,3819,7210,3942,17624,16373,
180,4388,6999,3964,17626,16366,
180,4953,6835,3975,17626,16377,
180,5521,6722,3934,17626,16372,
180,6088,6613,3957,17627,16373,
180,6655,6536,3966,17627,16378,
180,7222,6475,3974,17627,16376,
180,7789,6424,3963,17627,16377,
180,8354,6383,3976,17627,16378,
180,8921,6332,3960,17628,16378,
180,9486,6295,3972,17627,16370,
180,10054,6278,3974,17627,16378,
180,10621,6253,3947,17628,16372,
180,11186,6227,3967,17629,16375,
180,11754,6210,3968,17627,16378,
180,12321,6189,3967,17628,16375,
180,12887,6181,3973,17628,16374,
170,362,14767,4630,17624,16311,
170,930,10267,4610,17624,16362,
170,1495,8537,4634,17625,16358,
170,2062,7514,4635,17624,16355,
170,2631,6842,4635,17625,16351,
170,3199,6401,4644,17626,16357,
170,3767,6129,4638,17626,16355,
170,4336,5924,4587,17626,16357,
170,4902,5752,4643,17626,16349,
170,5469,5654,4633,17626,16351,
170,6037,5537,4636,17626,16340,
170,6604,5447,4613,17626,16350,
170,7170,5414,4639,17627,16347,
170,7737,5362,4646,17626,16351,
170,8303,5350,4641,17628,16348,
170,8869,5286,4617,17628,16347,
170,9434,5233,4652,17627,16348,
170,10003,5236,4619,17629,16346,
170,10569,5207,4589,17629,16343,
170,11135,5207,4626,17629,16340,
170,11703,5169,4629,17627,16341,
170,12269,5164,4611,17629,16351,
170,12836,5143,4639,17628,16353,
160,310,14704,5343,17623,16281,
160,878,7392,5332,17624,16291,
160,1444,5788,5337,17625,16314,
160,2011,4875,5370,17624,16336,
160,2579,4348,5345,17625,16317,
160,3147,4017,5343,17625,16300,
160,3716,3787,5360,17625,16352,
160,4284,3632,5355,17626,16339,
160,4850,3510,5369,17626,16333,
160,5418,3444,5371,17627,16349,
160,5986,3360,5335,17626,16337,
160,6553,3320,5428,17626,16351,
160,7119,3273,5370,17627,16358,
160,7687,3228,5368,17626,16338,
160,8251,3175,5310,17628,16356,
160,8818,3195,5372,17627,16360,
160,9382,3146,5370,17628,16348,
160,9951,3117,5356,17629,16356,
160,10518,3093,5371,17629,16355,
160,11083,3099,5356,17627,16365,
160,11651,3066,5364,17627,16336,
160,12219,3063,5369,17629,16366,
160,12784,3075,5353,17628,16352,
110,53,14889,8810,17623,15335,
110,620,765,8806,17624,15271,
110,1188,512,8877,17624,15285,
110,1753,386,8886,17625,15214,
110,2321,312,8884,17624,15256,
110,2890,267,8895,17625,15351,
110,3457,237,8850,17626,15294,
110,4027,228,8882,17626,15256,
110,4592,216,8893,17626,15332,
110,5160,207,8857,17626,15363,
110,5728,202,8889,17627,15318,
110,6295,193,8897,17626,15263,
110,6862,199,8897,17627,15352,
110,7430,196,8902,17627,15222,
110,7994,191,8883,17628,15342,
110,8562,182,8894,17628,15249,
110,9128,183,8931,17628,15339,
110,9693,181,8885,17628,15298,
110,10260,176,8890,17628,15293,
110,10826,172,8880,17629,15259,
110,11393,170,8895,17628,15370,
110,11962,172,8893,17627,15260,
110,12529,176,8911,17628,15254,
100,2,8702,9463,17623,14736,
100,568,8277,9393,17623,15353,
100,1137,6765,9403,17624,15378,
100,1702,5901,9398,17625,15390,
100,2269,5329,9417,17624,15396,
100,2838,5082,9437,17626,15400,
100,3406,4679,9442,17626,15412,
100,3975,4459,9426,17625,15426,
100,4541,4392,9441,17625,15411,
100,5108,4308,9456,17627,15416,
100,5676,4283,9451,17626,15414,
100,6243,4210,9446,17627,15417,
100,6811,4091,9459,17626,15425,
100,7378,4108,9448,17627,15420,
100,7942,4024,9456,17627,15428,
100,8510,4035,9451,17628,15431,
100,9077,4103,9450,17628,15424,
100,9642,4043,9440,17629,15433,
100,10208,3924,9459,17628,15430,
100,10774,4040,9452,17629,15419,
100,11341,3932,9448,17629,15425,
100,11910,4012,9456,17627,15427,
100,12477,3920,9460,17628,15429,
120,104,14174,8208,17624,14759,
120,671,898,8248,17623,14745,
120,1239,576,8258,17624,14744,
120,1805,401,8238,17625,14731,
120,2373,333,8237,17624,14734,
120,2941,308,8270,17625,14725,
120,3509,270,8262,17626,14736,
120,4078,243,8239,17625,14729,
120,4643,246,8218,17625,14733,
120,5212,233,8270,17627,14734,
120,5779,224,8271,17626,14736,
120,6347,223,8262,17627,14729,
120,6914,210,8260,17627,14726,
120,7481,216,8236,17626,14734,
120,8045,216,8272,17628,14726,
120,8614,200,8283,17627,14738,
120,9179,194,8281,17629,14736,
120,9744,208,8280,17627,14730,
120,10312,195,8277,17629,14737,
120,10877,192,8266,17628,14727,
120,11444,208,8272,17628,14740,
120,12014,202,8261,17628,14728,
120,12580,196,8275,17629,14737,
130,155,13475,7553,17624,14718,
