channel_id,baseline_140,max_reaction_R_140,responsivity_140,baseline_150,max_reaction_R_150,responsivity_150,baseline_152,max_reaction_R_152,responsivity_152,baseline_155,max_reaction_R_155,responsivity_155,baseline_157,max_reaction_R_157,responsivity_157,baseline_160,max_reaction_R_160,responsivity_160,baseline_162,max_reaction_R_162,responsivity_162,baseline_165,max_reaction_R_165,responsivity_165,baseline_167,max_reaction_R_167,responsivity_167,baseline_170,max_reaction_R_170,responsivity_170,baseline_172,max_reaction_R_172,responsivity_172,baseline_175,max_reaction_R_175,responsivity_175,baseline_177,max_reaction_R_177,responsivity_177,baseline_180,max_reaction_R_180,responsivity_180,baseline_182,max_reaction_R_182,responsivity_182,baseline_185,max_reaction_R_185,responsivity_185,baseline_187,max_reaction_R_187,responsivity_187,baseline_190,max_reaction_R_190,responsivity_190,baseline_192,max_reaction_R_192,responsivity_192,baseline_195,max_reaction_R_195,responsivity_195
0,9813.18747612057,8603.167323970058,0.1406482178696173,9645.46206245606,8933.274508434932,0.0797230123566301,9801.200273017708,9501.936794270405,0.0314949978332583,10667.638990343696,9878.345031914474,0.0799014365138299,11810.233304169264,11064.35175074872,0.0674130369517647,12862.940343346894,11914.56131646497,0.0795983168571503,13729.325616465969,13161.16785076012,0.0431692515549091,14920.159529067272,14470.601123253344,0.0310670166349562,16340.258019442335,15834.175156490235,0.031961428868283,17461.96596484583,16792.35899049892,0.0398756943396558,18537.46256381589,17857.573996047264,0.0380728405728079,19410.12300844277,18775.041602649217,0.033825832146435,20087.83643222294,19426.984842966947,0.0340171979644714,20579.891124877107,20005.851573371885,0.0286935824451122,20827.150747860505,20402.17152942367,0.0208300973170398,20894.98106452956,20537.54035848871,0.017404260675895,20836.383711698647,20384.20996234652,0.0221825496395187,20704.56757885711,19820.07895576175,0.0446258879729757,20474.22277477072,18915.653773605896,0.0823957247166147,20023.383578628484,18135.41495902849,0.104103965851638
1,11071.299276627658,10754.437217285224,0.0294633789700453,11955.695353378753,11061.574265806066,0.0808312692287049,14050.930336683952,12876.313576403978,0.0912230626654257,17267.145138362885,14585.286786161829,0.1838742282904946,20601.10628123525,16643.552293498477,0.2377830115799695,24583.19544946541,17689.195083449624,0.3897294553818309,26983.46107933036,19497.541002030022,0.3839417532970401,29634.560411960058,21403.300042732048,0.384579029999774,31413.192823404683,23681.42316620517,0.3264909208764619,32471.79773945576,24732.70601762822,0.3129092189229721,33041.67264812105,25752.62452370965,0.2830409816172559,33002.08887702936,26888.592035412246,0.2273639628867754,32643.578134137435,27806.8457353324,0.1739403470944316,31780.532581799867,28422.17929705926,0.1181595981659324,30695.341024451955,28589.24858335545,0.0736672891194023,29707.95631284792,28607.897749353087,0.038452967538298,28417.5062353059,27923.960000635245,0.0176746505387999,27340.423780535573,26573.08612925473,0.0288764973533151,25964.78383697388,25192.436373559223,0.0306579106507249,24833.049954508304,24231.39217960198,0.0248296825228557
2,13250.917865071882,12766.496606348184,0.0379447293694354,14000.780949155316,13224.952668895749,0.0586639740559729,16696.73186684315,14882.0331963203,0.1219388941405903,21067.94573898657,16876.35882156294,0.2483703363825162,26216.702245726206,19596.64522791009,0.3378158322929503,30906.30723059389,21489.591127446434,0.4381989423298267,34484.68238670525,24011.636574423188,0.4361654308660403,37199.19452633672,26059.420094480025,0.4274759143322746,40262.37126802426,28579.930047290123,0.40876381437616,41852.43736715896,30792.900285630723,0.3591586690094626,42528.47551159478,32699.250679913424,0.3005948034680585,42290.834419752005,34086.20059529207,0.2407025036868773,41604.65266814263,34991.86869571843,0.1889805894600116,40247.388564366505,35391.837451641506,0.1371940950892842,38991.789371126986,35621.92689230201,0.09460079150163,37199.14356020251,35753.58705751171,0.0404310901830784,35628.17303828711,34997.96107235493,0.0180071051747636,34592.05556541964,33457.68073113781,0.0339047659458986,33069.89571919751,31791.265472236784,0.0402195454621758,31281.497145086803,30274.121950859728,0.0332751250676146
3,15102.438187073078,14116.35992418064,0.0698535789813161,16004.286060391369,14888.05570443217,0.0749748911556595,19645.107534226023,18037.946335805776,0.0890989011997442,25639.23712570013,21973.90648274944,0.1668037791017338,31823.49320947732,24119.44153830501,0.3194125228371147,38074.48669837234,27847.30856348684,0.3672591235009077,42671.67903060388,29435.010474136936,0.4496913146369468,46122.57760237888,32855.81135900245,0.4037875095646162,49493.894334933815,36197.02646833244,0.3673469664209674,51091.80795194913,38673.645344007295,0.3211014244320804,51688.53774735803,41359.96858567178,0.2497238154398489,51481.68992217974,43561.98950793545,0.1818030008202817,50424.212622462415,44460.95152040575,0.1341235600709034,49376.80343865614,44868.607278529176,0.1004755091269404,47131.17209708627,44689.68784936423,0.0546319378186657,45428.813727330606,43154.188404438464,0.0527092596800684,43121.7752672864,40737.97711336799,0.0585153785934102,40813.01472676376,38605.9440020192,0.0571691945838477,38977.66387252663,36791.2349933006,0.0594279827688351,36909.02795158522,34815.40017007807,0.0601351060530537
4,16524.114583518458,5511.459566457721,1.998137677373672,17757.437340375596,5978.589709900855,1.970171595981634,21865.425306805097,8203.32648390935,1.6654339979877264,27946.605526246803,11888.750891071824,1.350676347944514,34718.5814313842,16483.22894750235,1.106297348775526,42623.76249484336,18802.208535753794,1.2669550980562263,46876.22136058249,21062.65711549748,1.2255606737334157,52782.71417529912,23297.431484635774,1.2656022922573396,54820.41587901699,24495.56281246387,1.2379733137269735,57301.2762994466,24640.55276126607,1.3254866420659948,57733.75100172557,24044.981424538728,1.4010728052718018,57373.044372542114,23619.77783932437,1.429025571824905,56509.61936676702,22723.5191378448,1.4868339725009094,54221.42331822886,21550.559432802176,1.5160100129789789,53363.42236595015,20170.25673277779,1.6456491393702302,51698.90548911993,19267.56788876543,1.683208684541064,49591.85451418018,18332.41355203556,1.705145963100625,46569.16413810362,17122.9128814485,1.7196987136784485,44326.187766709816,16076.950644469864,1.7571265687723625,42456.86407649074,14806.159898721306,1.86751354618002
0,12956.915087833177,12254.860174533083,0.0572878762630875,14602.880984184643,13138.879970247037,0.1114250999516577,18972.856788616053,16935.18184740405,0.120321999466711,25239.85631781703,20901.15012245873,0.2075821746620665,32788.59134565794,24771.23672851109,0.3236558071369553,38467.8271278994,28173.87062104776,0.3653724632057256,43308.53763706941,30083.79335281969,0.4395969660192533,46542.46922633618,33630.70000508515,0.3839280544056085,49250.40670791566,35678.248545997536,0.3804042719311309,50534.64584657186,39020.06461260122,0.2950938535927512,50827.37718556816,42584.16929276272,0.1935744674537165,50134.72153104608,43636.51135800227,0.148916812339356,48806.72358833009,44478.36474461194,0.0973138034316443,47195.20689354633,44292.58377697282,0.0655329373239803,45057.514601849456,43137.967351811865,0.0444978604203281,42847.69604901069,40603.38004054884,0.0552741177266657,40873.18356944203,38088.04875193796,0.0731235888623031,38314.76313915585,36267.396395872565,0.0564519912302359,36453.77738280715,34097.98860804557,0.0690887900116701,34168.831676537375,31812.74578323492,0.0740610668867223
1,15786.60897176594,14936.255622940123,0.0569321636086479,17804.670693594322,16127.842858399266,0.1039709928920702,22894.44389312261,19566.200341686417,0.1701016801072645,30501.557551492177,23124.50195417346,0.3190146802702198,38956.80557794184,27955.602881416995,0.3935240725513991,46686.872808597465,32488.730198826,0.437017467992163,51771.8689842757,37093.27419133075,0.3957211950940573,57337.18786992572,41312.99495664434,0.387872942402212,61585.3582441466,42920.99935899836,0.4348537816893882,63130.16299379134,46104.8359561792,0.3692742135292277,63652.43746680874,50066.01540140901,0.271370149121501,63020.78224757658,51854.82785590205,0.215331047336678,61021.23964117108,53602.52568923565,0.1384023207217126,58612.31153121878,54887.93696442543,0.0678541547154019,56332.73264986932,52921.79056664459,0.0644525071185813,53854.15054159469,50284.189852138894,0.0709956887036122,51173.55086004799,47776.89474379711,0.0710941164021938,47814.162526955406,44723.73828302338,0.0691003114358423,45489.700081753406,42338.17874164949,0.0744368660573406,42512.39200502247,39677.864557640576,0.071438508069509
2,17674.644503982618,17027.498740534385,0.0380059205000957,18797.362599948858,17774.531288044796,0.0575447698354791,26802.834600876067,22126.2942525885,0.2113566914957063,34586.045246850146,27991.826847503755,0.2355765643761278,44954.17610243675,33337.90817900885,0.3484402158963908,54495.68453301035,37784.59886390675,0.4422724118176797,61138.7346786026,40884.68224960472,0.4953946396194308,65686.26262132468,45161.09709235591,0.454487752744229,70636.9270913253,51730.03728238442,0.365491517157271,73107.13705111557,56309.39248799232,0.2983115928076347,73123.67620839567,59965.12457349557,0.2194367430817636,72342.02771627788,62129.97745008632,0.164365909747765,70033.67992752817,62532.71281081528,0.1199526900329128,67690.98340836167,62424.96415237816,0.0843575855827367,64488.89277083879,61177.94601889768,0.0541199397396958,61191.18678130474,58884.4402649632,0.0391741265767635,57951.67816218114,55845.3743666729,0.0377167101016915,54730.56548450813,52506.20847876441,0.0423636950789034,51730.03728238442,49758.68585718861,0.0396182373235045,48302.21155729768,46461.44680727399,0.0396191870145441
3,19016.498595629644,18037.923162881874,0.0542510035058507,21244.743839635485,18880.344062647127,0.1252307568730215,29367.50634196212,23811.46610734529,0.2333346552274209,39779.33691007769,30449.138275789624,0.3064191357331971,49886.94870768808,36963.65337424531,0.3496217000684021,60374.24503601783,45771.118136995006,0.3190467590351411,69547.03302061677,50881.74587555632,0.3668366095517035,74550.51016449949,57986.75727495129,0.2856471661453517,78698.89545322418,65531.80813963035,0.2009266596999486,81165.48990129489,72679.90346788405,0.1167528577849648,81398.6024965752,74634.61719357196,0.0906279894952795,80663.60694335491,75284.46893032592,0.0714508329467962,78107.88093286817,74481.67881393488,0.0486858268594081,75558.45030921738,70845.02771873822,0.0665314524145848,71734.62525492992,68084.13840066921,0.0536172879618144,68175.02719112673,64742.900159853234,0.0530116356048218,64194.32263975059,60748.3384629534,0.0567255708384302,60271.598408458005,56707.99561907604,0.0628412757403684,56932.48251609325,53341.76450308172,0.0673153212395907,53428.48670394687,50144.6020294073,0.0654882986729805
4,20462.84960166958,6279.785607103772,2.258526784500692,22159.603858737893,7296.830364633341,2.036880775814965,29013.78934150817,10964.893516446167,1.6460621161519349,39939.35632504167,16681.699873607125,1.3942018276105983,49798.294280400136,21333.730319349223,1.3342516069603718,60982.1671232361,24768.182821681326,1.4621171267297872,71215.12526800027,29685.0543532794,1.3990229029219523,77428.52690044235,32153.634116049187,1.4080801137745924,82092.4927345354,33143.564486026095,1.4768757979892904,82948.26062991266,33149.239713345785,1.5022673626061458,82771.54179711404,32449.73565288261,1.5507616666751245,80715.19119196528,31630.778985394976,1.5517927089065453,79049.23774698525,29949.5565321016,1.6394126291070754,77778.0947319959,28260.89249679836,1.7521457342795266,77034.21255090633,26412.967162055804,1.9165300542822663,73511.32334121104,24457.59368836292,2.005664591451129,68725.34516765286,22923.173480182835,1.9980728988970995,65240.783963299895,21034.612763747056,2.101591871267616,61440.36287923854,19817.197338751444,2.100355808593341,57373.044372542114,18218.021275026345,2.149246754431576
