Setting,Timestamp,Channel_0,Channel_1,Channel_2,Channel_3
250,27507,11389,378,17648,16843,
250,28792,10354,376,17648,16852,
250,30076,10009,379,17648,16854,
250,31363,9837,378,17648,16855,
250,32650,9740,376,17648,16855,
250,33933,9683,378,17648,16856,
250,35216,9683,371,17649,16856,
250,36502,9640,376,17648,16856,
250,37786,9627,377,17649,16857,
250,39075,9612,377,17647,16855,
250,40357,9621,375,17649,16858,
250,42512,9588,377,17650,16858,
250,43794,9602,377,17649,16858,
250,45079,9595,377,17649,16855,
250,46366,9606,379,17649,16856,
250,47651,9593,377,17649,16859,
250,48934,9585,378,17649,16858,
250,50222,9593,379,17648,16857,
250,51507,9575,375,17650,16857,
250,52794,9576,375,17650,16857,
250,54080,9589,381,17649,16859,
250,55365,9582,375,17649,16855,
250,57518,9563,380,17649,16857,
250,58799,9578,378,17649,16853,
250,60082,9590,376,17649,16857,
250,61363,9591,374,17649,16860,
250,62650,9571,379,17650,16859,
250,63938,9585,376,17649,16856,
250,65227,9561,379,17649,16858,
250,66513,9567,377,17648,16856,
250,67798,9573,377,17648,16857,
250,69087,9558,380,17648,16854,
250,70372,9564,374,17650,16857,
250,72521,9558,379,17649,16859,
250,73806,9574,376,17648,16858,
250,75092,9561,364,17650,16858,
250,76377,9583,374,17650,16858,
250,77664,9577,372,17648,16857,
250,78947,9562,379,17649,16858,
250,80230,9563,379,17648,16858,
250,81517,9570,377,17649,16858,
250,82804,9577,370,17649,16859,
250,84092,9575,379,17648,16856,
250,85379,9576,373,17648,16860,
250,87527,9576,378,17649,16861,
250,88815,9574,377,17648,16859,
250,90095,9607,377,17649,16860,
250,91381,9595,378,17649,16859,
250,92667,9594,375,17648,16854,
250,93956,9606,374,17649,16858,
250,95243,9595,379,17648,16857,
250,96529,9596,379,17649,16856,
250,97813,9600,376,17649,16854,
250,99096,9610,377,17649,16857,
250,100381,9610,376,17650,16853,
250,102539,9590,375,17650,16857,
250,103825,9606,380,17649,16852,
250,105109,9617,375,17650,16858,
250,106395,9618,378,17649,16858,
250,107676,9616,363,17649,16855,
250,108961,9618,377,17649,16856,
250,110247,9608,379,17650,16860,
250,111535,9621,368,17649,16856,
250,112819,9598,379,17649,16857,
250,114106,9601,377,17650,16856,
250,115389,9613,377,17649,16855,
240,27456,11755,601,17647,16825,
240,28741,10243,597,17648,16827,
240,30027,9823,595,17648,16846,
240,31312,9587,597,17647,16829,
240,32599,9526,601,17647,16831,
240,33881,9459,588,17648,16837,
240,35166,9400,590,17648,16835,
240,36451,9382,601,17648,16834,
240,37737,9364,591,17648,16839,
240,39024,9376,590,17647,16839,
240,40308,9352,577,17649,16836,
240,42460,9343,604,17649,16846,
240,43743,9364,603,17650,16842,
240,45028,9344,592,17649,16836,
240,46315,9343,600,17649,16839,
240,47599,9356,595,17649,16824,
240,48882,9325,600,17650,16841,
240,50170,9336,600,17648,16845,
240,51456,9374,601,17650,16836,
240,52743,9327,566,17650,16846,
240,54029,9338,593,17649,16842,
240,55314,9310,597,17649,16840,
240,57466,9344,596,17650,16831,
240,58751,9326,607,17648,16842,
240,60031,9297,594,17649,16850,
240,61312,9328,590,17650,16841,
240,62598,9312,596,17650,16848,
240,63886,9344,592,17649,16838,
240,65175,9359,598,17649,16831,
240,66461,9295,592,17648,16834,
240,67747,9325,596,17648,16845,
240,69036,9336,602,17648,16843,
240,70321,9326,601,17650,16836,
240,72469,9280,600,17649,16864,
240,73755,9375,599,17649,16853,
240,75041,9290,599,17649,16848,
240,76326,9295,603,17649,16834,
240,77613,9286,598,17648,16838,
240,78895,9319,597,17650,16841,
240,80178,9280,601,17649,16842,
240,81465,9355,597,17649,16831,
240,82753,9287,602,17650,16843,
240,84041,9320,596,17649,16851,
240,85328,9350,592,17649,16838,
240,87475,9322,589,17650,16846,
240,88763,9330,603,17649,16828,
240,90044,9385,596,17649,16847,
240,91330,9369,599,17649,16834,
240,92616,9347,594,17647,16838,
240,93904,9344,603,17648,16832,
240,95191,9372,598,17648,16828,
240,96477,9352,599,17649,16848,
240,97761,9354,605,17649,16853,
240,99045,9349,603,17649,16835,
240,100330,9342,603,17650,16833,
240,102487,9331,598,17650,16837,
240,103773,9395,587,17650,16846,
240,105058,9406,603,17649,16829,
240,106344,9399,576,17649,16841,
240,107625,9414,601,17649,16833,
240,108911,9395,576,17649,16829,
240,110195,9388,599,17650,16826,
240,111484,9357,595,17649,16841,
240,112767,9385,603,17649,16839,
240,114055,9396,600,17649,16832,
240,115338,9371,602,17649,16834,
230,27404,12097,979,17648,16745,
230,28689,9948,966,17647,16722,
230,29975,9391,976,17647,16770,
230,31261,9166,969,17647,16782,
230,32548,9039,945,17648,16803,
230,33830,9005,981,17648,16734,
230,35115,8939,983,17648,16743,
230,36399,8907,979,17648,16736,
230,37685,8919,978,17648,16758,
230,38972,8926,971,17649,16704,
230,40257,8896,976,17648,16755,
230,42408,8828,981,17649,16743,
230,43691,8860,968,17648,16715,
230,44976,8856,967,17650,16734,
230,46263,8868,964,17649,16771,
230,47548,8845,969,17649,16771,
230,48831,8882,983,17649,16792,
230,50119,8855,978,17647,16729,
230,51404,8871,972,17650,16756,
230,52691,8844,977,17650,16775,
230,53977,8841,980,17650,16734,
230,55262,8838,984,17649,16756,
230,57415,8881,982,17649,16772,
230,58699,8829,983,17649,16726,
230,59981,8877,972,17648,16737,
230,61261,8879,977,17649,16718,
230,62547,8834,980,17650,16753,
230,63835,8877,943,17649,16752,
230,65124,8875,980,17648,16783,
230,66410,8879,974,17648,16695,
230,67695,8850,973,17650,16740,
230,68984,8808,992,17649,16763,
230,70269,8868,975,17650,16760,
230,72418,8824,978,17649,16734,
230,73703,8842,980,17650,16752,
230,74989,8852,979,17649,16747,
230,76274,8841,971,17649,16760,
230,77561,8851,974,17648,16750,
230,78844,8874,986,17649,16746,
230,80127,8832,982,17649,16736,
230,81414,8848,981,17650,16752,
